"U:0","U:1","U:2","p","Points:0","Points:1","Points:2"
-9.1821,-2.5769,3.3542,159.03,-0.051881,-0.2,-0.12404
-8.1225,-2.7629,2.6376,163.91,-0.055958,-0.2,-0.13364
-9.4821,-2.5261,2.0802,159.43,-0.033694,-0.2,-0.13015
-8.3699,-2.6947,1.4763,164.2,-0.036362,-0.2,-0.14023
-10.299,-2.001,3.9609,148.92,-0.047803,-0.2,-0.11443
-10.659,-1.9936,2.5514,149.5,-0.031026,-0.2,-0.12006
-10.346,-0.72781,3.8999,137.98,-0.043726,-0.2,-0.10483
-10.725,-0.77251,2.4682,138.63,-0.028359,-0.2,-0.10998
-10.336,0.63635,3.9303,126.1,-0.039648,-0.2,-0.09522
-10.732,0.57011,2.5082,126.81,-0.025691,-0.2,-0.099892
-10.327,0.99034,3.8916,113.02,-0.035571,-0.2,-0.085615
-10.731,0.92163,2.4652,113.88,-0.023023,-0.2,-0.089806
-10.521,0.72711,3.9737,100.79,-0.031809,-0.2,-0.076752
-10.918,0.64765,2.4944,101.83,-0.020562,-0.2,-0.080501
-8.4734,-2.6101,0.22659,164.82,-0.016036,-0.2,-0.144
-9.6164,-2.462,0.69557,160.08,-0.014831,-0.2,-0.13364
-10.828,-1.9798,1.0079,150.32,-0.013626,-0.2,-0.12327
-10.917,-0.82029,0.89662,139.62,-0.01242,-0.2,-0.11291
-10.95,0.49438,0.94407,127.91,-0.011215,-0.2,-0.10254
-10.954,0.84164,0.90027,115.12,-0.01001,-0.2,-0.09218
-11.126,0.55862,0.88975,103.24,-0.0088985,-0.2,-0.082618
-8.3716,-2.5155,-1.0191,165.56,0.0046186,-0.2,-0.14479
-9.5345,-2.3907,-0.68865,160.81,0.0043362,-0.2,-0.13437
-10.768,-1.9643,-0.53527,151.14,0.0040539,-0.2,-0.12394
-10.877,-0.87007,-0.67668,140.58,0.0037715,-0.2,-0.11352
-10.941,0.41668,-0.62615,128.99,0.0034892,-0.2,-0.10309
-10.949,0.76007,-0.66366,116.38,0.0032069,-0.2,-0.092668
-11.098,0.47004,-0.70189,104.66,0.0029463,-0.2,-0.08305
-8.1148,-2.4141,-2.246,166.04,0.025192,-0.2,-0.14274
-9.2755,-2.3133,-2.0513,161.31,0.023426,-0.2,-0.13246
-10.5,-1.9425,-2.0497,151.77,0.021661,-0.2,-0.12217
-10.61,-0.91218,-2.2167,141.41,0.019895,-0.2,-0.11188
-10.701,0.34437,-2.1626,129.99,0.01813,-0.2,-0.10159
-10.724,0.67936,-2.191,117.6,0.016364,-0.2,-0.091307
-10.849,0.38122,-2.2479,106.04,0.014735,-0.2,-0.081816
-7.7177,-2.3088,-3.3578,166.21,0.045214,-0.2,-0.13759
-8.8439,-2.2325,-3.3281,161.59,0.042006,-0.2,-0.12768
-10.029,-1.9153,-3.4995,152.29,0.038798,-0.2,-0.11776
-10.137,-0.9448,-3.6868,142.13,0.03559,-0.2,-0.10784
-10.251,0.27934,-3.6347,130.91,0.032382,-0.2,-0.097928
-10.292,0.5991,-3.6556,118.7,0.029174,-0.2,-0.088012
-10.396,0.28892,-3.7248,107.22,0.026215,-0.2,-0.078863
-7.1776,-2.2022,-4.361,166.31,0.064364,-0.2,-0.12982
-8.2451,-2.1512,-4.5107,161.85,0.059772,-0.2,-0.12045
-9.367,-1.887,-4.8633,152.76,0.05518,-0.2,-0.11108
-9.473,-0.97074,-5.0664,142.76,0.050588,-0.2,-0.10171
-9.61,0.2199,-5.0222,131.67,0.045996,-0.2,-0.092346
-9.6709,0.51642,-5.0391,119.53,0.041404,-0.2,-0.082978
-9.7527,0.18972,-5.1046,108.09,0.037167,-0.2,-0.074335
-6.5266,-2.0998,-5.3229,166.29,0.082161,-0.2,-0.11931
-7.5086,-2.0738,-5.6187,161.96,0.076284,-0.2,-0.11069
-8.535,-1.861,-6.1165,153.08,0.070407,-0.2,-0.10208
-8.6326,-0.99291,-6.3335,143.2,0.06453,-0.2,-0.093459
-8.7909,0.16324,-6.3049,132.18,0.058653,-0.2,-0.084842
-8.8707,0.42817,-6.3161,120.05,0.052776,-0.2,-0.076226
-8.9349,0.080694,-6.3637,108.7,0.047354,-0.2,-0.068276
-5.7419,-2.0052,-6.182,166.62,0.098271,-0.2,-0.10637
-6.6211,-2.005,-6.6082,162.29,0.091231,-0.2,-0.098682
-7.5371,-1.843,-7.237,153.4,0.084192,-0.2,-0.090994
-7.628,-1.0175,-7.4715,143.54,0.077152,-0.2,-0.083306
-7.8053,0.10551,-7.4663,132.5,0.070112,-0.2,-0.075617
-7.903,0.33305,-7.4619,120.34,0.063073,-0.2,-0.067929
-7.9569,-0.038823,-7.4844,109.11,0.056578,-0.2,-0.060836
-4.8523,-1.9331,-6.9654,166.55,0.11255,-0.2,-0.091419
-5.6102,-1.9532,-7.4935,162.32,0.10447,-0.2,-0.084797
-6.3941,-1.8366,-8.2215,153.56,0.09639,-0.2,-0.078175
-6.4735,-1.0501,-8.4665,143.76,0.08831,-0.2,-0.071553
-6.6665,0.044596,-8.4819,132.73,0.080231,-0.2,-0.064931
-6.776,0.23212,-8.4572,120.59,0.072152,-0.2,-0.058309
-6.8287,-0.16739,-8.4481,109.48,0.064697,-0.2,-0.0522
-3.9308,-1.8852,-7.6366,166.15,0.12426,-0.2,-0.074379
-4.5292,-1.9202,-8.2438,162.1,0.11534,-0.2,-0.068986
-5.1406,-1.8389,-9.0411,153.59,0.10642,-0.2,-0.063593
-5.1993,-1.0821,-9.2886,143.91,0.097498,-0.2,-0.0582
-5.3965,-0.016871,-9.3244,132.94,0.088577,-0.2,-0.052807
-5.522,0.12529,-9.2862,120.87,0.079656,-0.2,-0.047414
-5.5868,-0.30346,-9.2408,109.89,0.071425,-0.2,-0.042438
-2.9435,-1.8575,-8.1202,166.4,0.13364,-0.2,-0.055958
-3.402,-1.9064,-8.7919,162.25,0.12403,-0.2,-0.051886
-3.8663,-1.8569,-9.6521,153.62,0.11443,-0.2,-0.047814
-3.9088,-1.1225,-9.9069,143.98,0.10482,-0.2,-0.043742
-4.1057,-0.081072,-9.9568,133.07,0.09521,-0.2,-0.03967
-4.2583,0.020421,-9.9087,121.1,0.085602,-0.2,-0.035598
-4.3458,-0.43433,-9.8307,110.28,0.076738,-0.2,-0.031841
-8.7904,-2.6143,4.4324,158.99,-0.064555,-0.2,-0.11792
-7.7976,-2.8179,3.6489,163.9,-0.069613,-0.2,-0.12704
-9.8258,-1.9958,5.1203,148.78,-0.059497,-0.2,-0.10879
-9.8527,-0.67854,5.0715,137.79,-0.054438,-0.2,-0.099666
-9.8292,0.69416,5.093,125.85,-0.04938,-0.2,-0.09054
-9.8116,1.0423,5.0711,112.68,-0.044322,-0.2,-0.081415
-10.007,0.79002,5.2088,100.38,-0.039655,-0.2,-0.072996
-7.3911,-2.8691,4.5448,163.79,-0.082504,-0.2,-0.11906
-8.3096,-2.6477,5.3808,158.95,-0.076521,-0.2,-0.11051
-9.2545,-1.9889,6.1297,148.74,-0.070538,-0.2,-0.10197
-9.2573,-0.63331,6.0857,137.65,-0.064555,-0.2,-0.093421
-9.2248,0.74398,6.0981,125.64,-0.058571,-0.2,-0.084876
-9.1978,1.0846,6.1008,112.47,-0.052588,-0.2,-0.07633
-9.3811,0.84433,6.2852,100.21,-0.047068,-0.2,-0.068445
-6.9032,-2.9164,5.3634,163.6,-0.094493,-0.2,-0.10978
-7.7351,-2.6794,6.2615,158.77,-0.08765,-0.2,-0.1019
-8.5775,-1.9861,7.0807,148.5,-0.080808,-0.2,-0.094031
-8.5565,-0.59797,7.0388,137.36,-0.073965,-0.2,-0.086158
-8.5164,0.78409,7.0389,125.34,-0.067123,-0.2,-0.078285
-8.48,1.1187,7.0563,112.2,-0.06028,-0.2,-0.070412
-8.6423,0.8915,7.2844,99.946,-0.053968,-0.2,-0.063149
-6.336,-2.9597,6.1127,163.4,-0.10545,-0.2,-0.099296
-7.0715,-2.7091,7.0723,158.53,-0.09782,-0.2,-0.092181
-7.8024,-1.9855,7.9589,148.16,-0.090192,-0.2,-0.085066
-7.7599,-0.56975,7.9143,137.01,-0.082565,-0.2,-0.077951
-7.7153,0.81558,7.9,125.02,-0.074937,-0.2,-0.070836
-7.6686,1.1428,7.9253,111.92,-0.06731,-0.2,-0.063722
-7.7991,0.92799,8.1931,99.646,-0.060273,-0.2,-0.057158
-5.686,-2.999,6.7887,163.28,-0.11525,-0.2,-0.08773
-6.318,-2.7366,7.8041,158.35,-0.10692,-0.2,-0.08145
-6.9334,-1.9869,8.7481,147.87,-0.098587,-0.2,-0.075171
-6.8745,-0.54833,8.6958,136.72,-0.090258,-0.2,-0.068892
