"U:0","U:1","U:2","p","Points:0","Points:1","Points:2"
-8.9975,-2.528,3.2866,152.6,-0.051881,-0.2,-0.12404
-7.9599,-2.7106,2.5845,157.28,-0.055958,-0.2,-0.13364
-9.2913,-2.4782,2.0382,152.98,-0.033694,-0.2,-0.13015
-8.2021,-2.6438,1.4465,157.56,-0.036362,-0.2,-0.14023
-10.091,-1.9631,3.8807,142.89,-0.047803,-0.2,-0.11443
-10.444,-1.9558,2.4997,143.45,-0.031026,-0.2,-0.12006
-10.137,-0.7159,3.8204,132.39,-0.043726,-0.2,-0.10483
-10.508,-0.75977,2.4177,133.01,-0.028359,-0.2,-0.10998
-10.125,0.62149,3.8498,120.98,-0.039648,-0.2,-0.09522
-10.514,0.55655,2.4566,121.67,-0.025691,-0.2,-0.099892
-10.116,0.9702,3.8115,108.44,-0.035571,-0.2,-0.085615
-10.512,0.90287,2.4143,109.26,-0.023023,-0.2,-0.089806
-10.305,0.71305,3.8916,96.698,-0.031809,-0.2,-0.076752
-10.695,0.63519,2.4426,97.699,-0.020562,-0.2,-0.080501
-8.3034,-2.5609,0.22192,158.16,-0.016036,-0.2,-0.144
-9.4227,-2.4154,0.68146,153.61,-0.014831,-0.2,-0.13364
-10.609,-1.9423,0.98748,144.24,-0.013626,-0.2,-0.12327
-10.696,-0.80665,0.87803,133.97,-0.01242,-0.2,-0.11291
-10.727,0.48231,0.9243,122.72,-0.011215,-0.2,-0.10254
-10.73,0.82446,0.88133,110.46,-0.01001,-0.2,-0.09218
-10.899,0.54792,0.87084,99.056,-0.0088985,-0.2,-0.082618
-8.2034,-2.4681,-0.9987,158.87,0.0046186,-0.2,-0.14479
-9.3423,-2.3454,-0.6748,154.31,0.0043362,-0.2,-0.13437
-10.55,-1.9271,-0.52448,145.02,0.0040539,-0.2,-0.12394
-10.656,-0.85545,-0.66334,134.89,0.0037715,-0.2,-0.11352
-10.718,0.40616,-0.61392,123.76,0.0034892,-0.2,-0.10309
-10.726,0.74452,-0.65063,111.66,0.0032069,-0.2,-0.092668
-10.871,0.4611,-0.68818,100.42,0.0029463,-0.2,-0.08305
-7.9515,-2.3686,-2.2007,159.33,0.025192,-0.2,-0.14274
-9.0883,-2.2694,-2.0099,154.78,0.023426,-0.2,-0.13246
-10.288,-1.9056,-2.0082,145.63,0.021661,-0.2,-0.12217
-10.395,-0.89669,-2.172,135.68,0.019895,-0.2,-0.11188
-10.484,0.3353,-2.1191,124.73,0.01813,-0.2,-0.10159
-10.505,0.66539,-2.1467,112.83,0.016364,-0.2,-0.091307
-10.628,0.37404,-2.2025,101.74,0.014735,-0.2,-0.081816
-7.5622,-2.2652,-3.2899,159.49,0.045214,-0.2,-0.13759
-8.6653,-2.19,-3.2608,155.06,0.042006,-0.2,-0.12768
-9.8265,-1.8789,-3.4286,146.13,0.038798,-0.2,-0.11776
-9.9319,-0.9286,-3.6123,136.38,0.03559,-0.2,-0.10784
-10.043,0.27159,-3.5611,125.61,0.032382,-0.2,-0.097928
-10.082,0.58672,-3.5814,113.89,0.029174,-0.2,-0.088012
-10.183,0.28355,-3.6491,102.87,0.026215,-0.2,-0.078863
-7.0328,-2.1604,-4.2727,159.59,0.064364,-0.2,-0.12982
-8.0785,-2.11,-4.4193,155.3,0.059772,-0.2,-0.12045
-9.1775,-1.851,-4.7647,146.58,0.05518,-0.2,-0.11108
-9.281,-0.95392,-4.9638,136.98,0.050588,-0.2,-0.10171
-9.4146,0.21339,-4.9203,126.33,0.045996,-0.2,-0.092346
-9.4736,0.50566,-4.9365,114.69,0.041404,-0.2,-0.082978
-9.5533,0.18627,-5.0007,103.71,0.037167,-0.2,-0.074335
-6.3947,-2.0597,-5.215,159.56,0.082161,-0.2,-0.11931
-7.3568,-2.034,-5.5049,155.41,0.076284,-0.2,-0.11069
-8.3623,-1.8253,-5.9925,146.89,0.070407,-0.2,-0.10208
-8.4576,-0.97551,-6.2051,137.41,0.06453,-0.2,-0.093459
-8.6121,0.15792,-6.1768,126.83,0.058653,-0.2,-0.084842
-8.6897,0.41916,-6.1874,115.19,0.052776,-0.2,-0.076226
-8.7523,0.079364,-6.234,104.3,0.047354,-0.2,-0.068276
-5.6258,-1.9666,-6.0567,159.88,0.098271,-0.2,-0.10637
-6.4872,-1.9662,-6.4742,155.73,0.091231,-0.2,-0.098682
-7.3846,-1.8074,-7.0903,147.2,0.084192,-0.2,-0.090994
-7.4734,-0.99938,-7.3199,137.73,0.077152,-0.2,-0.083306
-7.6465,0.10144,-7.3144,127.13,0.070112,-0.2,-0.075617
-7.7418,0.32594,-7.3098,115.47,0.063073,-0.2,-0.067929
-7.7943,-0.037804,-7.3317,104.69,0.056578,-0.2,-0.060836
-4.7542,-1.8955,-6.8241,159.82,0.11255,-0.2,-0.091419
-5.4967,-1.915,-7.3416,155.75,0.10447,-0.2,-0.084797
-6.2648,-1.8008,-8.0547,147.34,0.09639,-0.2,-0.078175
-6.3423,-1.0312,-8.2946,137.94,0.08831,-0.2,-0.071553
-6.5309,0.041831,-8.3092,127.35,0.080231,-0.2,-0.064931
-6.638,0.22703,-8.2848,115.7,0.072152,-0.2,-0.058309
-6.6893,-0.16383,-8.2757,105.04,0.064697,-0.2,-0.0522
-3.8513,-1.8481,-7.4817,159.43,0.12426,-0.2,-0.074379
-4.4377,-1.8823,-8.0766,155.55,0.11534,-0.2,-0.068986
-5.0367,-1.8027,-8.8576,147.37,0.10642,-0.2,-0.063593
-5.094,-1.0623,-9.0999,138.08,0.097498,-0.2,-0.0582
-5.2869,-0.018316,-9.1345,127.56,0.088577,-0.2,-0.052807
-5.4097,0.12235,-9.0968,115.97,0.079656,-0.2,-0.047414
-5.473,-0.2972,-9.0522,105.44,0.071425,-0.2,-0.042438
-2.884,-1.8205,-7.9556,159.67,0.13364,-0.2,-0.055958
-3.3333,-1.8684,-8.6137,155.68,0.12403,-0.2,-0.051886
-3.7883,-1.8201,-9.4562,147.4,0.11443,-0.2,-0.047814
-3.8297,-1.1017,-9.7056,138.15,0.10482,-0.2,-0.043742
-4.0224,-0.081142,-9.754,127.68,0.09521,-0.2,-0.03967
-4.1719,0.019561,-9.7066,116.19,0.085602,-0.2,-0.035598
-4.2575,-0.4255,-9.63,105.81,0.076738,-0.2,-0.031841
-8.6137,-2.5645,4.3431,152.56,-0.064555,-0.2,-0.11792
-7.6416,-2.7645,3.5755,157.28,-0.069613,-0.2,-0.12704
-9.6274,-1.958,5.0167,142.76,-0.059497,-0.2,-0.10879
-9.6534,-0.66756,4.9683,132.2,-0.054438,-0.2,-0.099666
-9.6295,0.67816,4.9888,120.74,-0.04938,-0.2,-0.09054
-9.6114,1.0211,4.9669,108.1,-0.044322,-0.2,-0.081415
-9.802,0.77472,5.1014,96.31,-0.039655,-0.2,-0.072996
-7.2434,-2.8146,4.4535,157.17,-0.082504,-0.2,-0.11906
-8.1426,-2.5972,5.2724,152.52,-0.076521,-0.2,-0.11051
-9.0676,-1.9511,6.0058,142.71,-0.070538,-0.2,-0.10197
-9.0701,-0.62317,5.9619,132.07,-0.064555,-0.2,-0.093421
