"p","U:0","U:1","U:2","div(phi)","Res:0","Res:1","Res:2","Points:0","Points:1","Points:2"
275.853,-10.1903,-3.8027201,2.42342,-0.000128873,1.93154e-09,5.53655e-11,-1.66551e-10,-0.04448564,-0.2071428,-0.1320499
259.55301,-13.4487,-3.27175,4.66366,-0.00050618598,8.4700602e-08,3.8719499e-09,-6.2345902e-09,-0.041136581,-0.2071428,-0.12227266
242.353,-13.3382,-2.21134,4.25459,0.00035768599,2.61862e-07,-4.56673e-10,-1.9583e-08,-0.037787523,-0.2071428,-0.1124954
224.26601,-13.1424,1.13591,4.4759002,0.000489778,4.71004e-07,-1.44457e-08,-1.7812001e-08,-0.034438469,-0.20714281,-0.10271814
206.10201,-13.2236,2.48873,4.2595701,0.00116621,-4.4500901e-08,-4.5333199e-08,1.17389e-07,-0.031089408,-0.20714281,-0.092940897
185.716,-13.7186,2.25137,4.0852199,-0.00140405,-8.1370098e-07,-4.4236501e-08,1.95026e-07,-0.027866956,-0.20714281,-0.083533078
276.939,-10.4316,-3.6561401,0.89473599,0.000609337,4.0322399e-09,1.19243e-10,-3.3162501e-10,-0.02523748,-0.20714279,-0.13704035
260.785,-13.8464,-3.16781,2.6961601,-0.0005278,9.2542201e-08,4.2107202e-09,-6.6079302e-09,-0.023314681,-0.2071428,-0.1268865
243.97701,-13.7098,-2.1616499,2.2737701,0.00027106699,2.75394e-07,-5.5257499e-10,-2.11367e-08,-0.021391882,-0.2071428,-0.11673266
226.078,-13.5366,1.13336,2.5423601,-0.000241166,5.0688101e-07,-1.6377401e-08,-2.1731701e-08,-0.019469082,-0.2071428,-0.10657882
207.979,-13.6192,2.4728301,2.3424301,-0.000999782,7.4950698e-08,-5.0309801e-08,9.1352803e-08,-0.017546283,-0.20714281,-0.096424982
187.821,-14.0772,2.1721799,2.07813,0.00180552,-7.0963898e-07,-4.9632298e-08,4.51364e-08,-0.015696201,-0.20714281,-0.086654834
277.98801,-10.4151,-3.5,-0.65078902,-0.00022271401,4.12206e-09,1.4422601e-10,-3.43334e-10,-0.0054796226,-0.20714279,-0.13923517
261.96899,-13.9368,-3.06375,0.70229399,4.9378101e-05,1.00604e-07,5.2217501e-09,-7.1242998e-09,-0.0050216345,-0.20714279,-0.12891294
245.60699,-13.7906,-2.1314199,0.278761,-0.000150027,2.9955399e-07,-4.4984499e-11,-2.2399901e-08,-0.0045636464,-0.2071428,-0.11859069
227.88901,-13.68,1.11148,0.55991203,0.000164344,5.8018799e-07,-1.6796101e-08,-1.9970001e-08,-0.0041056583,-0.2071428,-0.10826845
209.84801,-13.7186,2.4655099,0.396126,-0.00033335801,1.87577e-07,-5.6525099e-08,1.26456e-07,-0.0036476704,-0.20714281,-0.097946204
189.92799,-14.1248,2.09372,0.063073099,-0.00074248301,-6.70514e-07,-7.3952897e-08,2.23858e-07,-0.0032070472,-0.20714281,-0.088014044
279.86099,-10.1359,-3.33742,-2.1642001,0.000339783,4.3980899e-09,1.68612e-10,-3.74484e-10,0.014396601,-0.2071428,-0.13862558
263.46301,-13.7604,-2.9567201,-1.29013,0.00075934798,9.5342997e-08,5.1704299e-09,-6.7479999e-09,0.013379619,-0.2071428,-0.12834154
247.147,-13.5898,-2.0909901,-1.69419,-0.00101814,3.2371599e-07,4.07994e-10,-2.45498e-08,0.012362637,-0.2071428,-0.11805751
229.48801,-13.5299,1.09954,-1.41146,0.00076867099,6.3506297e-07,-1.7471599e-08,-2.1695801e-08,0.011345655,-0.20714281,-0.10777348
211.655,-13.5497,2.4681599,-1.53894,0.000166625,2.9686001e-07,-6.19739e-08,1.41328e-07,0.010328673,-0.20714281,-0.097489446
192.048,-13.8971,2.02842,-1.9185801,-0.000421287,-5.8819199e-07,-9.1368697e-08,3.1250099e-07,0.009350053,-0.20714281,-0.087593995
280.19,-9.7578497,-3.17764,-3.6908,-0.00076188397,4.74552e-09,1.9736e-10,-4.10637e-10,0.033968031,-0.2071428,-0.13515307
264.091,-13.3918,-2.8493199,-3.2509699,-0.00082294899,1.16261e-07,7.0486101e-09,-8.05949e-09,0.031498428,-0.2071428,-0.12512141
248.271,-13.1224,-2.03948,-3.62569,4.1291802e-05,3.5257401e-07,8.88292e-10,-2.68001e-08,0.029028827,-0.2071428,-0.11508976
230.909,-13.0566,1.10641,-3.32249,-0.0011760599,6.9867099e-07,-1.8387601e-08,-2.4108401e-08,0.026559226,-0.20714281,-0.1050581
213.405,-13.1064,2.4873199,-3.39729,0.00078343198,4.0886101e-07,-6.7826001e-08,1.52941e-07,0.024089623,-0.20714281,-0.095026456
194.151,-13.3984,1.97294,-3.8318501,0.000822815,-4.9222803e-07,-1.08402e-07,3.9018701e-07,0.021713285,-0.20714281,-0.085373864
281.142,-9.1514301,-3.0183401,-4.9408102,5.8630802e-05,5.04633e-09,2.28013e-10,-4.3723999e-10,0.052852444,-0.20714279,-0.12891865
265.23801,-12.6708,-2.7470901,-5.11868,0.00044330501,1.17775e-07,7.5628597e-09,-8.1081497e-09,0.048979439,-0.2071428,-0.11934347
249.47099,-12.402,-1.97148,-5.4351301,0.00082615798,3.8022e-07,1.71224e-09,-2.94519e-08,0.045106433,-0.2071428,-0.10976829
232.453,-12.3596,1.13419,-5.1339202,0.00036199999,7.5957399e-07,-1.8500799e-08,-2.7974201e-08,0.041233428,-0.2071428,-0.10019311
215.22099,-12.4183,2.51827,-5.17624,-0.00081705803,5.2267598e-07,-7.2506502e-08,1.5995801e-07,0.037360422,-0.20714281,-0.09061794
196.209,-12.6454,1.9233201,-5.64252,-0.00054203701,-3.78968e-07,-1.24568e-07,4.5683001e-07,0.033633728,-0.20714281,-0.081404634
281.439,-8.4350595,-2.8613701,-6.21701,0,5.7250999e-09,2.6415101e-10,-4.8771698e-10,0.070663519,-0.20714279,-0.12009857
266.03799,-11.7017,-2.6510701,-6.88275,0.000164599,1.33035e-07,9.0620604e-09,-8.9555696e-09,0.065465227,-0.2071428,-0.11116886
