"p","U:0","U:1","U:2","div(phi)","Res:0","Res:1","Res:2","Points:0","Points:1","Points:2"
52.784901,-4.5671601,-1.75665,1.06744,-0.00064436701,1.83036e-11,-2.3803199e-12,2.3874199e-12,-0.04448564,-0.2071428,-0.1320499
49.455101,-5.9479198,-1.51377,2.0494101,-0.000385967,3.9040099e-10,-7.9900503e-11,-5.16138e-11,-0.041136581,-0.2071428,-0.12227266
46.1623,-5.8519902,-1.0342,1.86893,0.00041959301,1.24641e-09,-4.7313398e-10,-1.57053e-09,-0.037787523,-0.2071428,-0.1124954
42.6875,-5.7943602,0.34243599,1.9192801,0.000113026,1.6755199e-09,-1.90439e-09,-3.7446699e-09,-0.034438469,-0.20714281,-0.10271814
39.172901,-5.78405,1.0995899,1.84649,0.00038318199,-2.3584299e-09,-8.85343e-09,5.36659e-10,-0.031089408,-0.20714281,-0.092940897
35.2911,-5.99791,0.977121,1.74693,0.000581678,-3.37226e-08,-1.6375299e-08,1.90979e-08,-0.027866956,-0.20714281,-0.083533078
53.004002,-4.6616998,-1.69173,0.38288799,-5.0818799e-14,3.03544e-11,-4.2774699e-12,-3.12639e-12,-0.02523748,-0.20714279,-0.13704035
49.719398,-6.1156101,-1.46979,1.18001,0.00120242,4.4940399e-10,-9.6811399e-11,-2.7171199e-11,-0.023314681,-0.2071428,-0.1268865
46.491199,-6.013,-1.02197,1.00149,-0.00037151299,1.41287e-09,-6.1366401e-10,-1.68325e-09,-0.021391882,-0.2071428,-0.11673266
43.035999,-5.9674702,0.33221799,1.07142,0.000245687,8.1939799e-10,-2.39996e-09,-3.7085801e-09,-0.019469082,-0.2071428,-0.10657882
39.5438,-5.95367,1.09446,1.0109299,-0.00046656499,-5.3143299e-09,-9.9017203e-09,2.01737e-10,-0.017546283,-0.20714281,-0.096424982
35.7108,-6.1505799,0.93887502,0.87263399,0.00028085901,-4.2218801e-08,-1.82792e-08,2.12983e-08,-0.015696201,-0.20714281,-0.086654834
53.1991,-4.6430802,-1.61961,-0.303857,0.000210992,3.3566001e-11,-4.17799e-12,2.9558599e-12,-0.0054796226,-0.20714279,-0.13923517
49.962299,-6.1494999,-1.4234999,0.30122799,-0.000840694,5.2193599e-10,-1.0666e-10,8.6970403e-11,-0.0050216345,-0.20714279,-0.12891294
46.8167,-6.0462198,-1.01432,0.12943,-0.00062763703,1.56319e-09,-6.5175199e-10,-1.75913e-09,-0.0045636464,-0.2071428,-0.11859069
43.3881,-6.0160999,0.315054,0.20502099,0.00033170299,1.11925e-09,-2.47856e-09,-4.6023301e-09,-0.0041056583,-0.2071428,-0.10826845
39.918598,-5.9943299,1.09319,0.16208,0.00033335801,-1.68961e-09,-1.02473e-08,-3.16749e-09,-0.0036476704,-0.20714281,-0.097946204
36.132999,-6.1670699,0.90052497,-0.0044162199,-0.00036120799,-2.89499e-08,-1.95966e-08,1.36549e-08,-0.0032070472,-0.20714281,-0.088014044
53.5495,-4.5093899,-1.54158,-0.97143102,-0.00038547799,3.8767201e-11,-4.4515498e-12,9.1517896e-12,0.014396601,-0.2071428,-0.13862558
50.264801,-6.0619402,-1.3738199,-0.57427901,0.000201227,5.4663502e-10,-1.05288e-10,1.63084e-10,0.013379619,-0.2071428,-0.12834154
47.131599,-5.9583702,-0.99959499,-0.73883998,0.00110069,1.80313e-09,-6.9394601e-10,-1.7916501e-09,0.012362637,-0.2071428,-0.11805751
43.714401,-5.94203,0.30643901,-0.65569299,0.000482303,1.2228401e-09,-2.6160101e-09,-5.1943498e-09,0.011345655,-0.20714281,-0.10777348
40.294201,-5.9151402,1.09681,-0.678186,-0.00066650199,-1.6638101e-10,-1.07251e-08,-5.52114e-09,0.010328673,-0.20714281,-0.097489446
36.568501,-6.06252,0.868249,-0.86574101,-0.00106325,-2.19908e-08,-2.1070299e-08,8.5165697e-09,0.009350053,-0.20714281,-0.087593995
53.601101,-4.3338199,-1.4625,-1.63636,0.00107836,4.5304201e-11,-4.7179999e-12,1.7053e-11,0.033968031,-0.2071428,-0.13515307
50.409801,-5.8688302,-1.3224,-1.43327,0.00034437201,7.0394901e-10,-1.24682e-10,3.5254299e-10,0.031498428,-0.2071428,-0.12512141
47.372002,-5.75138,-0.97868901,-1.58254,-0.0013240899,2.1097999e-09,-7.5277701e-10,-1.79239e-09,0.029028827,-0.2071428,-0.11508976
44.010899,-5.73034,0.30693501,-1.48864,-0.00101021,1.33733e-09,-2.8065901e-09,-5.7964402e-09,0.026559226,-0.20714281,-0.1050581
40.658401,-5.7216101,1.10806,-1.4874099,0.00135017,9.7622899e-10,-1.12979e-08,-7.8011899e-09,0.024089623,-0.20714281,-0.095026456
36.998402,-5.8393898,0.84021902,-1.69581,0.00104357,-1.60026e-08,-2.2656501e-08,3.4984899e-09,0.021713285,-0.20714281,-0.085373864
53.772999,-4.0567698,-1.38176,-2.1814899,-0.000996724,5.49676e-11,-4.5865499e-12,2.73985e-11,0.052852444,-0.20714279,-0.12891865
50.640499,-5.5654001,-1.27157,-2.25175,-0.00077261799,7.7250201e-10,-1.23759e-10,4.81919e-10,0.048979439,-0.2071428,-0.11934347
47.625301,-5.4347601,-0.94979298,-2.3735299,0.000385541,2.4904201e-09,-7.8231499e-10,-1.69416e-09,0.045106433,-0.2071428,-0.10976829
44.323601,-5.4167399,0.31980601,-2.2758701,0.000573167,1.50123e-09,-2.9050899e-09,-6.2983601e-09,0.041233428,-0.2071428,-0.10019311
41.027302,-5.4180198,1.1244,-2.25881,-0.0011839001,2.03022e-09,-1.17039e-08,-1.00163e-08,0.037360422,-0.20714281,-0.09061794
37.420502,-5.50667,0.81459397,-2.4802599,-0.0013249801,-1.0162e-08,-2.40279e-08,-1.63095e-09,0.033633728,-0.20714281,-0.081404634
53.8214,-3.7298901,-1.30331,-2.73558,0.000125427,6.8467898e-11,-4.8814299e-12,3.9733501e-11,0.070663519,-0.20714279,-0.12009857
50.786098,-5.1408901,-1.22252,-3.02355,0.00097873399,9.3027103e-10,-1.3889701e-10,6.8959599e-10,0.065465227,-0.2071428,-0.11116886
47.830898,-5.00807,-0.92155999,-3.11903,8.2587001e-05,2.99201e-09,-8.3705498e-10,-1.53722e-09,0.060266942,-0.2071428,-0.10223915
44.590099,-4.9955401,0.334465,-3.0134101,-0.000211092,1.75481e-09,-3.0620499e-09,-6.76545e-09,0.055068649,-0.2071428,-0.09330944
41.3606,-5.01685,1.14556,-2.9707601,0.00020002401,2.8225e-09,-1.21973e-08,-1.21126e-08,0.049870361,-0.20714281,-0.084379733
37.812698,-5.07375,0.78862202,-3.2070601,-0.00032108999,-5.5093201e-09,-2.54115e-08,-6.4242198e-09,0.044868477,-0.20714281,-0.075787514
53.909801,-3.34535,-1.22672,-3.2435701,0.00082115101,8.4043002e-11,-4.54747e-12,5.7411902e-11,0.087009355,-0.20714277,-0.10879207
50.926498,-4.6260099,-1.17668,-3.7207899,0,1.11285e-09,-1.51836e-10,9.4837604e-10,0.080595784,-0.20714277,-0.1006964
48.005299,-4.49687,-0.89054102,-3.7819901,0,3.6065999e-09,-8.7329299e-10,-1.25453e-09,0.074182205,-0.20714279,-0.092600726
44.826099,-4.4870501,0.355766,-3.675,-0.000422454,2.1436799e-09,-3.1669301e-09,-7.1501098e-09,0.067768633,-0.2071428,-0.084505059
41.648399,-4.5247998,1.16576,-3.62293,0.00071717799,3.6649199e-09,-1.25643e-08,-1.4111e-08,0.061355058,-0.2071428,-0.076409385
38.1427,-4.55299,0.757972,-3.86573,0.00109031,-1.30899e-09,-2.6558199e-08,-1.10348e-08,0.055183869,-0.20714281,-0.06861975
54.248901,-2.86344,-1.15725,-3.68837,-0.000761459,1.0661e-10,-4.4622101e-12,7.7875498e-11,0.10165602,-0.2071428,-0.095342092
51.160599,-4.0078402,-1.14019,-4.3393798,-5.4876402e-14,1.2889e-09,-1.61428e-10,1.25323e-09,0.094148964,-0.2071428,-0.088236853
48.189701,-3.8882201,-0.86548299,-4.3792601,0.00070156099,4.3144701e-09,-8.8580898e-10,-7.8335899e-10,0.086641908,-0.2071428,-0.081131615
45.0186,-3.88831,0.372758,-4.2677398,0.00069317501,2.6589599e-09,-3.19451e-09,-7.3086999e-09,0.079134859,-0.20714281,-0.074026376
41.876099,-3.9538,1.1828001,-4.1995502,-0.0010995,4.47847e-09,-1.27287e-08,-1.58751e-08,0.071627803,-0.20714281,-0.06692113
38.423801,-3.9539199,0.724545,-4.44382,0.00078221498,2.1884701e-09,-2.7349e-08,-1.5248499e-08,0.064404376,-0.20714281,-0.060084432
54.064602,-2.3552001,-1.11561,-4.1237898,-0.00021084399,1.38499e-10,-4.9666898e-12,1.03228e-10,0.11418433,-0.2071428,-0.079916067
51.1661,-3.3222799,-1.1123101,-4.8857002,-0.00093627599,1.54489e-09,-1.85963e-10,1.62865e-09,0.10574306,-0.2071428,-0.073950492
48.296398,-3.21229,-0.84521598,-4.8868399,0.00022007601,5.2356199e-09,-9.4322405e-10,-2.25612e-10,0.097301781,-0.2071428,-0.067984916
45.179298,-3.21808,0.38789299,-4.77109,-0.00028628501,3.45898e-09,-3.34899e-09,-7.5278299e-09,0.088860504,-0.20714281,-0.062019344
42.0606,-3.3118601,1.19823,-4.69066,-6.6630098e-05,5.5406399e-09,-1.30729e-08,-1.77253e-08,0.080419227,-0.20714281,-0.056053769
38.652901,-3.2866399,0.69196498,-4.9292102,-0.000180494,5.1609299e-09,-2.83885e-08,-1.93319e-08,0.072296873,-0.20714281,-0.05031364
54.185699,-1.83795,-1.08224,-4.44736,5.8608199e-05,1.6200399e-10,-3.8085099e-12,1.3717701e-10,0.12435219,-0.20714279,-0.062818967
51.306801,-2.5759301,-1.0913301,-5.31882,6.3304302e-05,1.77431e-09,-1.96778e-10,2.06991e-09,0.11515187,-0.20714279,-0.058119435
48.437801,-2.4821701,-0.81339401,-5.2881398,-0.00082582398,6.1996799e-09,-9.2299501e-10,6.7203099e-10,0.10595153,-0.2071428,-0.053419903
45.341301,-2.4867699,0.42415401,-5.1719599,0.00021107899,4.3770001e-09,-3.27869e-09,-7.30626e-09,0.096751206,-0.2071428,-0.048720371
42.227402,-2.6034501,1.20465,-5.0903902,0.00121672,6.7450401e-09,-1.29206e-08,-1.9099e-08,0.087550879,-0.20714281,-0.044020839
38.868999,-2.5666699,0.66674101,-5.3115602,-0.00168558,8.1279303e-09,-2.88953e-08,-2.30452e-08,0.07869821,-0.20714281,-0.039498962
52.815899,-4.4235401,-1.80091,1.66219,0.00065876899,8.0885298e-09,-1.4624e-09,3.4202699e-10,-0.060517725,-0.20714279,-0.12569229
49.3032,-5.7084599,-1.54058,2.77668,0.00056337198,2.84957e-08,-9.2367998e-09,-3.15184e-08,-0.055981725,-0.2071428,-0.11639176
46.019501,-5.60919,-1.0289,2.5915,-0.000711689,2.4247401e-08,-2.93056e-08,-6.15495e-08,-0.05144573,-0.2071428,-0.10709122
42.539902,-5.5536399,0.36303899,2.62836,0.00019284101,-9.5349701e-09,-7.9656601e-08,-2.3036799e-08,-0.046909731,-0.20714281,-0.097790688
39.009998,-5.5403199,1.10457,2.5464001,0.000317492,-2.81296e-07,-1.37295e-07,1.6725301e-07,-0.042373732,-0.20714281,-0.088490143
35.102501,-5.7627101,1.01372,2.48753,-0.00038221601,-1.13545e-06,-1.58199e-07,5.2913202e-07,-0.038009197,-0.20714281,-0.079541035
52.744499,-4.2396202,-1.84129,2.1790199,-0.00061435299,7.1500801e-09,-9.1070297e-11,-5.1701399e-09,-0.073317491,-0.20714279,-0.11866338
49.299,-5.4229102,-1.55782,3.3679099,-8.6175596e-06,1.36942e-08,-7.0780698e-10,-6.01614e-09,-0.067835324,-0.20714279,-0.10988907
45.982601,-5.3153901,-1.01299,3.1677401,0.00136769,2.16684e-09,-4.50579e-09,1.12909e-08,-0.062353157,-0.2071428,-0.10111476
42.477402,-5.2617798,0.392241,3.19083,-0.00049253,-7.24012e-08,-9.9698996e-09,4.25911e-08,-0.05687099,-0.2071428,-0.092340454
38.888302,-5.25563,1.10843,3.1080301,-0.00074861298,-2.31165e-07,-9.99459e-09,1.03044e-07,-0.051388819,-0.2071428,-0.083566144
34.938599,-5.4844499,1.04676,3.08744,0.000191165,-5.3593101e-07,-7.10273e-09,2.68197e-07,-0.04611389,-0.20714281,-0.075123414
52.646099,-4.0030298,-1.8777699,2.6696501,0.00082674,4.3241202e-09,6.7564099e-10,-4.0107002e-09,-0.085314319,-0.20714279,-0.11034176
49.2677,-5.0739799,-1.57444,3.9256001,-0.00153076,1.55796e-09,1.9217999e-10,-2.5983099e-10,-0.078946263,-0.20714279,-0.10218933
45.896702,-4.9590201,-1.00274,3.7172401,-0.00116182,-1.39429e-08,-3.4633301e-09,1.36597e-08,-0.072578207,-0.2071428,-0.0940369
