"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
994.47803,-19.589701,-7.2533102,4.7179699,-0.04448564,-0.2071428,-0.1320499
934.72699,-25.5222,-6.2990198,8.8238401,-0.041136581,-0.2071428,-0.12227266
872.70099,-25.254499,-4.25278,8.1189003,-0.037787523,-0.2071428,-0.1124954
808.21503,-24.836201,2.37802,8.4662905,-0.034438469,-0.20714281,-0.10271814
743.63202,-24.957001,4.7509699,8.0577898,-0.031089408,-0.20714281,-0.092940897
670.95398,-25.922899,4.3572102,7.7420802,-0.027866956,-0.20714281,-0.083533078
998.43903,-20.056801,-6.9793501,1.77738,-0.02523748,-0.20714279,-0.13704035
939.40198,-26.2698,-6.1031098,5.0893302,-0.023314681,-0.2071428,-0.1268865
878.62201,-25.9531,-4.1553302,4.3645101,-0.021391882,-0.2071428,-0.11673266
814.72699,-25.581301,2.38079,4.8249202,-0.019469082,-0.2071428,-0.10657882
750.39502,-25.7062,4.7206001,4.4414601,-0.017546283,-0.20714281,-0.096424982
678.50201,-26.6024,4.2128901,3.9564099,-0.015696201,-0.20714281,-0.086654834
1002.22,-20.0373,-6.6869898,-1.19122,-0.0054796226,-0.20714279,-0.13923517
943.85699,-26.437799,-5.9060302,1.30243,-0.0050216345,-0.20714279,-0.12891294
884.58698,-26.1115,-4.0936999,0.59308499,-0.0045636464,-0.2071428,-0.11859069
821.27399,-25.850201,2.3484001,1.09294,-0.0041056583,-0.2071428,-0.10826845
757.16803,-25.895399,4.7069898,0.77038902,-0.0036476704,-0.20714281,-0.097946204
686.05298,-26.694201,4.0704002,0.153574,-0.0032070472,-0.20714281,-0.088014044
1008.93,-19.5219,-6.3826399,-4.0932798,0.014396601,-0.2071428,-0.13862558
949.53198,-26.087299,-5.7030902,-2.48018,0.013379619,-0.2071428,-0.12834154
890.27197,-25.7276,-4.0076098,-3.1619401,0.012362637,-0.2071428,-0.11805751
827.00702,-25.564899,2.3373499,-2.62833,0.011345655,-0.20714281,-0.10777348
763.65601,-25.5798,4.7123899,-2.8848801,0.010328673,-0.20714281,-0.097489446
693.63501,-26.2659,3.9537301,-3.5871201,0.009350053,-0.20714281,-0.087593995
1009.75,-18.813601,-6.08218,-7.0190902,0.033968031,-0.2071428,-0.13515307
951.52802,-25.3832,-5.4983902,-6.2005801,0.031498428,-0.2071428,-0.12512141
894.34601,-24.8428,-3.9013,-6.8189101,0.029028827,-0.2071428,-0.11508976
832.10199,-24.6719,2.3564899,-6.2302499,0.026559226,-0.20714281,-0.1050581
769.94397,-24.7418,4.7506299,-6.3891702,0.024089623,-0.20714281,-0.095026456
701.17297,-25.3256,3.85706,-7.1988602,0.021713285,-0.20714281,-0.085373864
1013.02,-17.6803,-5.7824302,-9.4157104,0.052852444,-0.20714279,-0.12891865
955.41101,-23.9519,-5.3005199,-9.7417603,0.048979439,-0.2071428,-0.11934347
898.59497,-23.4872,-3.7591901,-10.247,0.045106433,-0.2071428,-0.10976829
837.586,-23.3561,2.41535,-9.6484804,0.041233428,-0.2071428,-0.10019311
776.43298,-23.444099,4.8129101,-9.7464504,0.037360422,-0.20714281,-0.09061794
708.54901,-23.9055,3.77194,-10.6176,0.033633728,-0.20714281,-0.081404634
1014.06,-16.3032,-5.4884601,-11.8643,0.070663519,-0.20714279,-0.12009857
958.30103,-22.179899,-5.1122499,-13.0949,0.065465227,-0.2071428,-0.11116886
902.35901,-21.658701,-3.63396,-13.4788,0.060266942,-0.2071428,-0.10223915
842.32202,-21.5686,2.4823501,-12.8488,0.055068649,-0.2071428,-0.09330944
782.30603,-21.7187,4.8948398,-12.8443,0.049870361,-0.20714281,-0.084379733
715.40399,-22.044701,3.6870799,-13.7905,0.044868477,-0.20714281,-0.075787514
1015.8,-14.6543,-5.2193499,-14.0984,0.087009355,-0.20714277,-0.10879207
960.88501,-19.9575,-4.9409599,-16.1264,0.080595784,-0.20714277,-0.1006964
905.479,-19.4468,-3.4988699,-16.357599,0.074182205,-0.20714279,-0.092600726
846.52002,-19.399401,2.56653,-15.7265,0.067768633,-0.2071428,-0.084505059
787.36401,-19.5923,4.97437,-15.6923,0.061355058,-0.2071428,-0.076409385
721.086,-19.7969,3.58249,-16.6726,0.055183869,-0.20714281,-0.06861975
1022.16,-12.5786,-4.9830799,-16.0714,0.10165602,-0.2071428,-0.095342092
965.27502,-17.291201,-4.8137999,-18.816,0.094148964,-0.2071428,-0.088236853
908.86102,-16.819,-3.39821,-18.9512,0.086641908,-0.2071428,-0.081131615
849.96301,-16.834801,2.6230099,-18.310101,0.079134859,-0.20714281,-0.074026376
791.435,-17.121401,5.0408001,-18.208599,0.071627803,-0.20714281,-0.06692113
725.987,-17.2019,3.45838,-19.2096,0.064404376,-0.20714281,-0.060084432
1018.65,-10.3714,-4.87075,-17.991199,0.11418433,-0.2071428,-0.079916067
965.45898,-14.3307,-4.7213802,-21.1882,0.10574306,-0.2071428,-0.073950492
910.85101,-13.887,-3.3329501,-21.1667,0.097301781,-0.2071428,-0.067984916
852.854,-13.9566,2.6744399,-20.4995,0.088860504,-0.20714281,-0.062019344
794.729,-14.3305,5.0964899,-20.3627,0.080419227,-0.20714281,-0.056053769
729.992,-14.3091,3.31269,-21.3496,0.072296873,-0.20714281,-0.05031364
1020.77,-8.1230803,-4.7831402,-19.418301,0.12435219,-0.20714279,-0.062818967
968.12701,-11.106,-4.6570201,-23.067801,0.11515187,-0.20714279,-0.058119435
913.52698,-10.7263,-3.20983,-22.9137,0.10595153,-0.2071428,-0.053419903
855.867,-10.8036,2.7894599,-22.255699,0.096751206,-0.2071428,-0.048720371
797.78998,-11.2566,5.1206899,-22.105101,0.087550879,-0.20714281,-0.044020839
733.90698,-11.1791,3.1930799,-23.042101,0.07869821,-0.20714281,-0.039498962
995.19202,-18.932199,-7.4476299,7.2554498,-0.060517725,-0.20714279,-0.12569229
932.48199,-24.4788,-6.4288201,11.9445,-0.055981725,-0.2071428,-0.11639176
870.43799,-24.197599,-4.25775,11.237,-0.05144573,-0.2071428,-0.10709122
805.71802,-23.809999,2.41977,11.4993,-0.046909731,-0.20714281,-0.097790688
740.85101,-23.894199,4.7768502,11.0689,-0.042373732,-0.20714281,-0.088490143
667.65997,-24.889999,4.4939799,10.9401,-0.038009197,-0.20714281,-0.079541035
994.11401,-18.1143,-7.6299701,9.4596395,-0.073317491,-0.20714279,-0.11866338
932.73798,-23.2442,-6.5170999,14.4788,-0.067835324,-0.20714279,-0.10988907
870.11298,-22.9156,-4.2093201,13.7395,-0.062353157,-0.2071428,-0.10111476
804.94098,-22.542,2.50302,13.9099,-0.05687099,-0.2071428,-0.092340454
738.88202,-22.6511,4.79877,13.4926,-0.051388819,-0.2071428,-0.083566144
664.90198,-23.671801,4.6262898,13.5284,-0.04611389,-0.20714281,-0.075123414
992.633,-17.0798,-7.8000698,11.5477,-0.085314319,-0.20714279,-0.11034176
932.33197,-21.7393,-6.6041698,16.867399,-0.078946263,-0.20714279,-0.10218933
868.78998,-21.369499,-4.1894698,16.116699,-0.072578207,-0.2071428,-0.0940369
803.10797,-21.011801,2.5439,16.2131,-0.066210151,-0.2071428,-0.085884467
736,-21.1465,4.8048601,15.805,-0.059842095,-0.2071428,-0.077732041
661.24298,-22.1654,4.7382202,16.004299,-0.053714752,-0.20714281,-0.069887683
991.06702,-15.8605,-7.95684,13.4627,-0.096377559,-0.20714279,-0.1008153
930.62097,-19.9986,-6.6850801,19.099701,-0.089193106,-0.20714279,-0.093373418
866.07703,-19.586399,-4.1761799,18.346901,-0.082008645,-0.20714279,-0.08593154
800.19098,-19.2568,2.56674,18.3654,-0.074824192,-0.2071428,-0.078489661
732.26703,-19.4067,4.79386,17.9762,-0.067639731,-0.2071428,-0.071047783
656.81,-20.3986,4.8075299,18.332399,-0.060726847,-0.20714281,-0.063887119
990,-14.4375,-8.0998497,15.2081,-0.10638478,-0.20714277,-0.090187229
928.79401,-18.017401,-6.7578602,21.143299,-0.098462239,-0.20714277,-0.083536625
863.33502,-17.5695,-4.1670399,20.380501,-0.090539694,-0.20714279,-0.076886028
797.43701,-17.274799,2.5731101,20.3263,-0.082617149,-0.2071428,-0.070235431
728.79199,-17.438499,4.7649102,19.957899,-0.074694604,-0.2071428,-0.063584834
652.71399,-18.369499,4.8526201,20.470699,-0.06707155,-0.20714281,-0.057185568
989.30603,-12.8192,-8.2288103,16.7792,-0.1152259,-0.20714277,-0.078573562
927.29901,-15.8079,-6.8221798,22.9676,-0.10665227,-0.20714277,-0.072786883
861.18597,-15.3371,-4.1624098,22.179199,-0.098078653,-0.20714279,-0.06700021
795.284,-15.092,2.56321,22.055201,-0.089505032,-0.2071428,-0.061213534
725.95599,-15.2502,4.7228198,21.721399,-0.08093141,-0.2071428,-0.055426858
649.37097,-16.1003,4.8762398,22.374901,-0.072681896,-0.2071428,-0.049858868
608.961,-27.165199,3.6805,7.8445601,-0.025731582,-0.20714281,-0.077271409
570.427,-28.267401,3.2891099,8.1424503,-0.024556685,-0.20714281,-0.07378646
525.36102,-29.9142,3.0737801,8.3922997,-0.023381788,-0.20714281,-0.070301503
618.00201,-27.8104,3.4693501,3.8780401,-0.014474238,-0.20714281,-0.080153689
580.63702,-28.8256,3.03356,3.98001,-0.013807676,-0.20714281,-0.07653784
537.383,-30.464399,2.7939999,4.0102501,-0.013141113,-0.20714283,-0.072921999
626.70099,-27.831301,3.2650599,-0.062892497,-0.0029228954,-0.20714281,-0.081406534
590.34399,-28.721399,2.7797,-0.124244,-0.00277785,-0.20714281,-0.077733591
548.96002,-30.2819,2.52405,-0.27569801,-0.0026328047,-0.20714281,-0.074060649
635.33002,-27.3288,3.0878799,-3.90448,0.0086899679,-0.20714281,-0.081011236
599.70001,-28.0874,2.5450699,-4.0901999,0.0083100554,-0.20714281,-0.077352569
559.79498,-29.5098,2.2751,-4.3629999,0.0079301428,-0.20714281,-0.073693909
643.82202,-26.314199,2.93011,-7.5904498,0.020123634,-0.20714281,-0.078953773
608.94299,-26.9503,2.33216,-7.8727102,0.0192274,-0.20714281,-0.075387105
570.40399,-28.174601,2.0647199,-8.2312803,0.018331168,-0.20714283,-0.071820438
652.01801,-24.8241,2.7776301,-11.065,0.031146303,-0.20714281,-0.075278714
617.80499,-25.3529,2.13361,-11.4147,0.029751837,-0.20714281,-0.071878307
580.71698,-26.3934,1.8606499,-11.7941,0.028357375,-0.20714283,-0.068477891
659.61603,-22.900999,2.6194301,-14.2748,0.041533589,-0.20714281,-0.070076346
626.05701,-23.333099,1.94692,-14.663,0.039669286,-0.20714281,-0.066908732
590.13,-24.199301,1.65409,-15.0426,0.037804987,-0.20714283,-0.06374111
666.05701,-20.5933,2.4495201,-17.1712,0.051072381,-0.20714281,-0.063444279
633.16101,-20.9503,1.77134,-17.576099,0.048778214,-0.20714281,-0.060576923
598.21399,-21.6798,1.46307,-17.939199,0.046484042,-0.20714283,-0.057709567
671.73901,-17.9401,2.2781601,-19.705299,0.059592791,-0.20714281,-0.055542935
639.52698,-18.2484,1.60762,-20.1126,0.056909416,-0.20714281,-0.053028099
605.21802,-18.858601,1.28728,-20.479601,0.054226041,-0.20714283,-0.05051326
676.74298,-15.0044,2.1084001,-21.8241,0.066887863,-0.20714281,-0.046501935
645.27002,-15.2665,1.4446501,-22.2395,0.063873261,-0.20714281,-0.044393197
611.61499,-15.7971,1.10312,-22.614201,0.060858659,-0.20714283,-0.042284463
681.62799,-11.8386,1.95363,-23.503799,0.072804876,-0.20714281,-0.036498766
650.90302,-12.085,1.29717,-23.917999,0.069523223,-0.20714281,-0.034842595
618.15997,-12.5657,0.93159902,-24.333401,0.06624157,-0.20714281,-0.033186428
604.12,-26.145599,3.8694501,11.2226,-0.035113774,-0.20714281,-0.073583782
564.77399,-27.2896,3.5076499,11.7112,-0.033516005,-0.20714281,-0.070266955
518.46997,-28.8787,3.3168001,12.1651,-0.031918231,-0.20714281,-0.066950127
600.43799,-24.9202,4.02917,13.99,-0.042612668,-0.20714281,-0.069502763
560.47699,-26.076,3.68859,14.6408,-0.040677909,-0.20714281,-0.066372618
513.526,-27.556601,3.5564401,15.2624,-0.038743149,-0.20714283,-0.063242465
595.81299,-23.3778,4.1617999,16.6486,-0.049645904,-0.20714281,-0.064664274
555.086,-24.515301,3.84935,17.456499,-0.047394831,-0.20714281,-0.061753735
507.34601,-25.859699,3.79142,18.235399,-0.045143757,-0.20714283,-0.058843195
590.39203,-21.540899,4.2698398,19.1661,-0.056134846,-0.20714281,-0.059117794
548.81,-22.628,3.9923601,20.121901,-0.053592153,-0.20714281,-0.056458578
500.17401,-23.813101,4.0164299,21.0406,-0.05104946,-0.20714281,-0.053799361
585.479,-19.408899,4.3534002,21.487499,-0.062006857,-0.20714281,-0.052922431
543.112,-20.412201,4.11619,22.578899,-0.059201036,-0.20714281,-0.050544098
493.63101,-21.4202,4.2218399,23.614401,-0.05639521,-0.20714281,-0.048165765
581.40698,-16.998301,4.4177198,23.5648,-0.067199953,-0.20714281,-0.046148289
538.34302,-17.886499,4.2277999,24.7754,-0.064161472,-0.20714281,-0.044076439
488.12399,-18.7062,4.40137,25.903299,-0.061122991,-0.20714281,-0.042004589
436.38599,-31.563499,3.48299,8.5092096,-0.021382596,-0.20714281,-0.064128831
272.341,-32.281502,6.0710602,7.2087698,-0.018559109,-0.20714281,-0.055268422
87.124802,-30.6161,8.5883303,6.2459102,-0.015735622,-0.20714281,-0.046408016
-102.119,-26.6029,8.81917,3.7767401,-0.012912137,-0.20714281,-0.037547611
449.207,-32.344002,3.1358299,3.9272799,-0.012066682,-0.20714283,-0.066259377
278.285,-32.963001,5.7518601,2.5339899,-0.010584381,-0.20714281,-0.05654997
81.6549,-31.025,8.3026199,1.6557699,-0.0091020809,-0.20714281,-0.046840567
-121.14,-26.4501,8.3500996,-0.56818402,-0.0076197805,-0.20714281,-0.037131164
462.431,-32.4562,2.7708499,-0.63008797,-0.0025294712,-0.20714281,-0.067091554
285.28,-33.203701,5.3877902,-2.14329,-0.0024678498,-0.20714281,-0.05682632
79.416,-30.901899,7.9751801,-2.7953,-0.0024062283,-0.20714281,-0.046561081
-131.328,-25.9979,7.9734302,-4.30165,-0.0023446069,-0.20714281,-0.036295846
474.974,-31.947001,2.4268899,-5.0773101,0.0070466269,-0.20714281,-0.066609964
294.59399,-32.5383,4.9970698,-6.7908101,0.0056595076,-0.20714281,-0.056100748
81.927101,-30.246901,7.6241298,-7.2881398,0.0042723888,-0.20714281,-0.045591533
-134.383,-25.205999,7.59939,-8.0236101,0.0028852699,-0.20714281,-0.035082318
487.819,-30.6884,2.0925,-9.3157396,0.016477166,-0.20714283,-0.064819843
308.354,-31.3951,4.5722699,-11.2864,0.013665391,-0.20714281,-0.054385334
90.169601,-29.0982,7.2628698,-11.6293,0.010853617,-0.20714281,-0.043950826
-129.36301,-24.0998,7.3324599,-11.5996,0.0080418428,-0.2071428,-0.033516318
501.38,-28.9231,1.7739,-13.2574,0.025579359,-0.20714283,-0.061754093
324.495,-29.6402,4.1159601,-15.5303,0.021417789,-0.20714281,-0.05170691
104.385,-27.4692,6.8743501,-15.7513,0.017256221,-0.20714281,-0.041659724
-115.355,-22.703699,7.2380099,-15.0699,0.013094652,-0.2071428,-0.031612538
514.03302,-26.644501,1.47817,-16.8368,0.034178458,-0.20714283,-0.057475183
342.604,-27.351999,3.63849,-19.422899,0.028789701,-0.20714281,-0.048110936
124.699,-25.401501,6.4477501,-19.562401,0.023400944,-0.20714281,-0.038746689
