"p","U:0","U:1","U:2","div(phi)","Points:0","Points:1","Points:2"
376.65799,-12.2513,-4.29706,3.14941,0.00064436701,-0.04448564,-0.2071428,-0.1320499
355.129,-15.5724,-3.76314,5.32019,0.00036698501,-0.041136581,-0.2071428,-0.12227266
331.72601,-15.547,-2.54919,5.0125399,-0.00034392899,-0.037787523,-0.2071428,-0.1124954
307.25101,-15.3153,1.37422,5.2094998,-0.00021550299,-0.034438469,-0.20714281,-0.10271814
282.58099,-15.4071,2.9187601,4.9700599,-0.00116621,-0.031089408,-0.20714281,-0.092940897
254.869,-15.9873,2.63743,4.7595,-0.000401158,-0.027866956,-0.20714281,-0.083533078
378.27399,-12.5831,-4.1356101,1.3087699,0.000199206,-0.02523748,-0.20714279,-0.13704035
356.862,-16.018299,-3.6454201,3.0480001,0.000213904,-0.023314681,-0.2071428,-0.1268865
333.96301,-15.9851,-2.4888201,2.7048299,-0.00072789,-0.021391882,-0.2071428,-0.11673266
309.729,-15.7692,1.3710901,2.95577,0.00055769499,-0.019469082,-0.2071428,-0.10657882
285.14401,-15.8711,2.89856,2.73399,-0.000499891,-0.017546283,-0.20714281,-0.096424982
257.728,-16.4067,2.54533,2.42065,0.000200614,-0.015696201,-0.20714281,-0.086654834
379.82199,-12.6211,-3.96422,-0.56074798,-0.00064469798,-0.0054796226,-0.20714279,-0.13923517
358.539,-16.1112,-3.52759,0.74026603,-0.000106353,-0.0050216345,-0.20714279,-0.12891294
336.21701,-16.082899,-2.45169,0.379614,0.000225729,-0.0045636464,-0.2071428,-0.11859069
312.21701,-15.9358,1.34503,0.64457202,-0.00061214197,-0.0041056583,-0.2071428,-0.10826845
287.69601,-15.9879,2.88852,0.46490699,0.00116675,-0.0036476704,-0.20714281,-0.097946204
260.59201,-16.4622,2.4544899,0.071709603,0.00080268498,-0.0032070472,-0.20714281,-0.088014044
382.427,-12.3514,-3.7858901,-2.3948901,0.00053896598,0.014396601,-0.2071428,-0.13862558
360.60599,-15.8859,-3.40589,-1.5688699,-0.00046826401,0.013379619,-0.2071428,-0.12834154
338.328,-15.8487,-2.40258,-1.92502,0.000151345,0.012362637,-0.2071428,-0.11805751
314.39801,-15.7562,1.3303601,-1.6558599,0.00018086399,0.011345655,-0.20714281,-0.10777348
290.14999,-15.7918,2.8905001,-1.7941,-0.00083312701,0.010328673,-0.20714281,-0.097489446
263.46301,-16.1959,2.3791201,-2.2393501,-0.00060183898,0.009350053,-0.20714281,-0.087593995
382.85999,-11.9447,-3.60956,-4.2502398,-0.00038680201,0.033968031,-0.2071428,-0.13515307
361.45401,-15.4068,-3.28297,-3.8431201,0.00081028801,0.031498428,-0.2071428,-0.12512141
339.84799,-15.3084,-2.34144,-4.1793599,-0.00038539001,0.029028827,-0.2071428,-0.11508976
316.31601,-15.2022,1.33672,-3.88555,0.000874508,0.026559226,-0.20714281,-0.1050581
292.505,-15.2716,2.9118199,-3.9620099,-1.44579e-13,0.024089623,-0.20714281,-0.095026456
