"p","U:0","U:1","U:2","div(phi)","Points:0","Points:1","Points:2"
53.1362,-4.70015,-1.74948,1.2006299,1.17158e-05,-0.04448564,-0.2071428,-0.1320499
49.9715,-5.93081,-1.52342,2.0253699,0.00085292401,-0.041136581,-0.2071428,-0.12227266
46.594501,-5.9166799,-1.05985,1.89931,0.00020085499,-0.037787523,-0.2071428,-0.1124954
43.0634,-5.81353,0.33274499,1.95318,0.00060129701,-0.034438469,-0.20714281,-0.10271814
39.5182,-5.8102298,1.11466,1.87002,-0.00071638398,-0.031089408,-0.20714281,-0.092940897
35.624599,-6.0019999,1.02476,1.76929,0.000401158,-0.027866956,-0.20714281,-0.083533078
53.370899,-4.8182902,-1.68615,0.497208,0.00073823601,-0.02523748,-0.20714279,-0.13704035
50.231098,-6.0957298,-1.47778,1.1602499,-0.000939155,-0.023314681,-0.2071428,-0.1268865
46.9296,-6.0812201,-1.04187,1.02481,-0.00060267601,-0.021391882,-0.2071428,-0.11673266
43.426601,-5.9936399,0.32680699,1.09733,-0.00052604201,-0.019469082,-0.2071428,-0.10657882
39.888599,-5.9829202,1.10848,1.03099,0.000449902,-0.017546283,-0.20714281,-0.096424982
36.043301,-6.1574798,0.98905599,0.89524901,-0.00088270003,-0.015696201,-0.20714281,-0.086654834
53.582199,-4.8241601,-1.61625,-0.214718,-0.000152383,-0.0054796226,-0.20714279,-0.13923517
50.4716,-6.1266899,-1.42923,0.28353199,0.000481753,-0.0050216345,-0.20714279,-0.12891294
47.255001,-6.1157899,-1.02965,0.144649,0.00053610699,-0.0045636464,-0.2071428,-0.11859069
43.782799,-6.0476699,0.31425399,0.225053,-6.0309601e-05,-0.0041056583,-0.2071428,-0.10826845
40.263,-6.0255499,1.10625,0.178509,-0.00021668299,-0.0036476704,-0.20714281,-0.097946204
36.460701,-6.1774201,0.95305198,0.016684501,0.000481611,-0.0032070472,-0.20714281,-0.088014044
53.9436,-4.7127399,-1.54067,-0.91036397,-0.00071471499,0.014396601,-0.2071428,-0.13862558
50.764198,-6.0369201,-1.37684,-0.59175599,-0.00015187,0.013379619,-0.2071428,-0.12834154
47.558601,-6.0295801,-1.01038,-0.72941703,0.000385241,0.012362637,-0.2071428,-0.11805751
44.099899,-5.9771199,0.31051099,-0.64438498,0.00057273498,0.011345655,-0.20714281,-0.10777348
40.625702,-5.9503999,1.10875,-0.66781598,0.00081646501,0.010328673,-0.20714281,-0.097489446
36.883499,-6.0768199,0.92299402,-0.84695399,0.00080245198,0.009350053,-0.20714281,-0.087593995
54.000301,-4.5505099,-1.46366,-1.61086,0.0005509,0.033968031,-0.2071428,-0.13515307
50.896599,-5.8385901,-1.3223701,-1.45322,0.00035070299,0.031498428,-0.2071428,-0.12512141
47.780102,-5.8221302,-0.98473001,-1.5806299,-0.000670304,0.029028827,-0.2071428,-0.11508976
44.383801,-5.7623301,0.31604201,-1.48463,-0.000392021,0.026559226,-0.20714281,-0.1050581
40.9771,-5.7563801,1.11888,-1.48154,-0.00120015,0.024089623,-0.20714281,-0.095026456
37.301102,-5.8572898,0.897493,-1.68047,-0.00144494,0.021713285,-0.20714281,-0.085373864
54.1744,-4.2831202,-1.3851399,-2.1805501,0.000175893,0.052852444,-0.20714279,-0.12891865
51.136902,-5.5264902,-1.26836,-2.2756701,-0.00101327,0.048979439,-0.2071428,-0.11934347
48.024799,-5.5062299,-0.95110601,-2.37924,-0.000234078,0.045106433,-0.2071428,-0.10976829
44.6926,-5.4492798,0.33400199,-2.2794499,0.00039216701,0.041233428,-0.2071428,-0.10019311
41.3382,-5.4540701,1.13457,-2.2592599,0.00020009599,0.037360422,-0.20714281,-0.09061794
37.709599,-5.5272799,0.87486398,-2.4690399,0.00076286698,0.033633728,-0.20714281,-0.081404634
54.208599,-3.95574,-1.30837,-2.76086,-0.00045716399,0.070663519,-0.20714279,-0.12009857
51.285099,-5.1077199,-1.2171201,-3.0532801,0.00089896598,0.065465227,-0.2071428,-0.11116886
48.223,-5.07798,-0.91836601,-3.1333699,0.00101857,0.060266942,-0.2071428,-0.10223915
44.952301,-5.0266299,0.35358599,-3.02472,-0.00042218401,0.055068649,-0.2071428,-0.09330944
41.662498,-5.05265,1.15514,-2.9779899,-0.000266699,0.049870361,-0.20714281,-0.084379733
38.088799,-5.0960102,0.852557,-3.2007,0.00032108999,0.044868477,-0.20714281,-0.075787514
54.290199,-3.5660501,-1.23456,-3.2904301,-0.00038711401,0.087009355,-0.20714277,-0.10879207
51.429901,-4.5899701,-1.16954,-3.7545099,0.000177386,0.080595784,-0.20714277,-0.1006964
48.3899,-4.5619202,-0.88303,-3.8065801,-0.00117077,0.074182205,-0.20714279,-0.092600726
45.180401,-4.5171499,0.379361,-3.69276,0.000241402,0.067768633,-0.2071428,-0.084505059
41.943401,-4.5592098,1.1753401,-3.63731,-0.00016678601,0.061355058,-0.2071428,-0.076409385
38.406898,-4.5757999,0.82585102,-3.8650501,0.00038752999,0.055183869,-0.20714281,-0.06861975
54.628101,-3.0811701,-1.16748,-3.75863,0.00098403904,0.10165602,-0.2071428,-0.095342092
51.6745,-3.96981,-1.13161,-4.37567,-0.00083513901,0.094148964,-0.2071428,-0.088236853
48.574402,-3.94803,-0.85400999,-4.4128098,0.00083912199,0.086641908,-0.2071428,-0.081131615
45.367298,-3.9159,0.40017599,-4.2926698,-0.00073838199,0.079134859,-0.20714281,-0.074026376
42.1651,-3.98592,1.19236,-4.2205501,0.00126609,0.071627803,-0.20714281,-0.06692113
38.678101,-3.9763501,0.79487902,-4.4496899,-0.00181714,0.064404376,-0.20714281,-0.060084432
54.4063,-2.56284,-1.12841,-4.2169499,-0.00056225201,0.11418433,-0.2071428,-0.079916067
51.676899,-3.2813699,-1.10203,-4.9236302,2.53048e-05,0.10574306,-0.2071428,-0.073950492
48.678299,-3.2632999,-0.83023602,-4.9313502,-0.00046766299,0.097301781,-0.2071428,-0.067984916
45.520302,-3.2430301,0.41890499,-4.8020401,-0.000331488,0.088860504,-0.20714281,-0.062019344
42.342602,-3.34006,1.20769,-4.71842,-0.00114937,0.080419227,-0.20714281,-0.056053769
38.896801,-3.3083401,0.76213503,-4.9421802,0.00154423,0.072296873,-0.20714281,-0.05031364
54.4823,-2.03708,-1.09578,-4.56252,0.00052747398,0.12435219,-0.20714279,-0.062818967
51.807899,-2.5357299,-1.07924,-5.3570499,0.00044313,0.11515187,-0.20714279,-0.058119435
48.8153,-2.5239301,-0.79542601,-5.3421001,0.000963461,0.10595153,-0.2071428,-0.053419903
45.673599,-2.5074799,0.45759401,-5.2096,0.000165848,0.096751206,-0.2071428,-0.048720371
42.5009,-2.62744,1.21521,-5.1231899,0.00063336297,0.087550879,-0.20714281,-0.044020839
39.1022,-2.5863099,0.73672497,-5.3313298,-0.00094312202,0.07869821,-0.20714281,-0.039498962
