"U:0","U:1","U:2","p","Points:0","Points:1","Points:2"
-13.765,-3.7835,5.0321,361.11,-0.051881,-0.2,-0.12404
-12.158,-4.0491,3.9543,372.04,-0.055958,-0.2,-0.13364
-14.218,-3.7074,3.1219,361.99,-0.033694,-0.2,-0.13015
-12.533,-3.9468,2.2151,372.69,-0.036362,-0.2,-0.14023
-15.463,-2.9379,5.9495,338.38,-0.047803,-0.2,-0.11443
-16.005,-2.9264,3.8327,339.66,-0.031026,-0.2,-0.12006
-15.547,-1.0234,5.8721,313.66,-0.043726,-0.2,-0.10483
-16.118,-1.089,3.7197,315.12,-0.028359,-0.2,-0.10998
-15.554,1.0019,5.9286,286.77,-0.039648,-0.2,-0.09522
-16.151,0.90314,3.7875,288.35,-0.025691,-0.2,-0.099892
-15.562,1.4864,5.8788,257.07,-0.035571,-0.2,-0.085615
-16.171,1.3837,3.728,258.99,-0.023023,-0.2,-0.089806
-15.866,1.0713,6.0088,229.24,-0.031809,-0.2,-0.076752
-16.466,0.95249,3.777,231.59,-0.020562,-0.2,-0.080501
-12.693,-3.8214,0.3413,374.09,-0.016036,-0.2,-0.144
-14.423,-3.6127,1.0446,363.47,-0.014831,-0.2,-0.13364
-16.261,-2.9059,1.5141,341.5,-0.013626,-0.2,-0.12327
-16.407,-1.1596,1.3562,317.34,-0.01242,-0.2,-0.11291
-16.479,0.79012,1.4322,290.83,-0.011215,-0.2,-0.10254
-16.507,1.2645,1.3683,261.79,-0.01001,-0.2,-0.09218
-16.779,0.81998,1.3561,234.78,-0.0088985,-0.2,-0.082618
-12.546,-3.683,-1.5281,375.79,0.0046186,-0.2,-0.14479
-14.304,-3.5087,-1.0333,365.13,0.0043362,-0.2,-0.13437
-16.172,-2.8841,-0.80475,343.35,0.0040539,-0.2,-0.12394
-16.347,-1.2341,-1.0105,319.51,0.0037715,-0.2,-0.11352
-16.466,0.67402,-0.93305,293.27,0.0034892,-0.2,-0.10309
-16.5,1.1431,-0.99009,264.62,0.0032069,-0.2,-0.092668
-16.735,0.68839,-1.0457,237.98,0.0029463,-0.2,-0.08305
-12.165,-3.5362,-3.3715,376.89,0.025192,-0.2,-0.14274
-13.922,-3.3973,-3.0806,366.25,0.023426,-0.2,-0.13246
-15.773,-2.8539,-3.0811,344.78,0.021661,-0.2,-0.12217
-15.947,-1.2981,-3.3278,321.37,0.019895,-0.2,-0.11188
-16.106,0.56558,-3.248,295.51,0.01813,-0.2,-0.10159
-16.158,1.023,-3.2932,267.36,0.016364,-0.2,-0.091307
-16.359,0.55633,-3.3786,241.09,0.014735,-0.2,-0.081816
-11.576,-3.3851,-5.0437,377.27,0.045214,-0.2,-0.13759
-13.277,-3.2818,-4.9997,366.88,0.042006,-0.2,-0.12768
-15.067,-2.8167,-5.2606,345.92,0.038798,-0.2,-0.11776
-15.237,-1.3488,-5.5407,322.98,0.03559,-0.2,-0.10784
-15.428,0.4674,-5.4664,297.56,0.032382,-0.2,-0.097928
-15.507,0.90367,-5.5018,269.82,0.029174,-0.2,-0.088012
-15.674,0.41958,-5.6073,243.73,0.026215,-0.2,-0.078863
-10.771,-3.2328,-6.5537,377.53,0.064364,-0.2,-0.12982
-12.379,-3.1665,-6.7781,367.47,0.059772,-0.2,-0.12045
-14.07,-2.7786,-7.311,346.98,0.05518,-0.2,-0.11108
-14.24,-1.3903,-7.6172,324.37,0.050588,-0.2,-0.10171
-14.464,0.37721,-7.5574,299.24,0.045996,-0.2,-0.092346
-14.569,0.78091,-7.5878,271.68,0.041404,-0.2,-0.082978
-14.703,0.27327,-7.6892,245.7,0.037167,-0.2,-0.074335
-9.798,-3.0885,-8.0013,377.49,0.082161,-0.2,-0.11931
-11.275,-3.0587,-8.4449,367.73,0.076284,-0.2,-0.11069
-12.82,-2.7455,-9.1957,347.69,0.070407,-0.2,-0.10208
-12.978,-1.4273,-9.5248,325.37,0.06453,-0.2,-0.093459
-13.231,0.29092,-9.4906,300.39,0.058653,-0.2,-0.084842
-13.362,0.64976,-9.5128,272.84,0.052776,-0.2,-0.076226
-13.468,0.11219,-9.588,247.07,0.047354,-0.2,-0.068276
-8.622,-2.9576,-9.294,378.26,0.098271,-0.2,-0.10637
-9.9435,-2.9649,-9.9334,368.49,0.091231,-0.2,-0.098682
-11.321,-2.7254,-10.881,348.42,0.084192,-0.2,-0.090994
-11.468,-1.469,-11.238,326.12,0.077152,-0.2,-0.083306
-11.747,0.20233,-11.241,301.08,0.070112,-0.2,-0.075617
-11.902,0.50782,-11.24,273.47,0.063073,-0.2,-0.067929
-11.992,-0.064956,-11.278,247.98,0.056578,-0.2,-0.060836
-7.2871,-2.8617,-10.472,378.11,0.11255,-0.2,-0.091419
-8.4252,-2.8974,-11.265,368.56,0.10447,-0.2,-0.084797
-9.6024,-2.7231,-12.363,348.78,0.09639,-0.2,-0.078175
-9.7313,-1.5229,-12.737,326.6,0.08831,-0.2,-0.071553
-10.032,0.10903,-12.772,301.59,0.080231,-0.2,-0.064931
-10.202,0.35697,-12.741,274,0.072152,-0.2,-0.058309
-10.29,-0.25591,-12.732,248.78,0.064697,-0.2,-0.0522
-5.9027,-2.8028,-11.481,377.23,0.12426,-0.2,-0.074379
-6.8008,-2.8586,-12.393,368.09,0.11534,-0.2,-0.068986
-7.7176,-2.734,-13.596,348.86,0.10642,-0.2,-0.063593
-7.814,-1.5764,-13.975,326.95,0.097498,-0.2,-0.0582
-8.1183,0.014824,-14.043,302.08,0.088577,-0.2,-0.052807
-8.3104,0.19699,-13.99,274.65,0.079656,-0.2,-0.047414
-8.4149,-0.45874,-13.928,249.72,0.071425,-0.2,-0.042438
-4.4176,-2.7731,-12.207,377.83,0.13364,-0.2,-0.055958
-5.1059,-2.8475,-13.216,368.44,0.12403,-0.2,-0.051886
-5.8014,-2.7681,-14.514,348.94,0.11443,-0.2,-0.047814
-5.8719,-1.6427,-14.906,327.13,0.10482,-0.2,-0.043742
-6.1732,-0.083572,-14.996,302.4,0.09521,-0.2,-0.03967
-6.4038,0.040752,-14.928,275.18,0.085602,-0.2,-0.035598
-6.5407,-0.65297,-14.818,250.63,0.076738,-0.2,-0.031841
-13.176,-3.8401,6.648,361.04,-0.064555,-0.2,-0.11792
-11.668,-4.1325,5.4681,372.05,-0.069613,-0.2,-0.12704
-14.752,-2.9307,7.6906,338.08,-0.059497,-0.2,-0.10879
-14.803,-0.95098,7.6336,313.25,-0.054438,-0.2,-0.099666
-14.791,1.0879,7.679,286.23,-0.04938,-0.2,-0.09054
-14.786,1.5639,7.6576,256.3,-0.044322,-0.2,-0.081415
-15.091,1.1648,7.8723,228.34,-0.039655,-0.2,-0.072996
-11.058,-4.211,6.8093,371.83,-0.082504,-0.2,-0.11906
-12.454,-3.8913,8.0693,360.97,-0.076521,-0.2,-0.11051
-13.894,-2.9212,9.2064,337.99,-0.070538,-0.2,-0.10197
-13.908,-0.88477,9.1583,312.96,-0.064555,-0.2,-0.093421
-13.88,1.1621,9.1921,285.78,-0.058571,-0.2,-0.084876
-13.86,1.6266,9.2102,255.85,-0.052588,-0.2,-0.07633
-14.147,1.2451,9.4959,227.97,-0.047068,-0.2,-0.068445
-10.327,-4.2842,8.0347,371.42,-0.094493,-0.2,-0.10978
-11.592,-3.9406,9.3891,360.59,-0.08765,-0.2,-0.1019
-12.876,-2.9182,10.634,337.47,-0.080808,-0.2,-0.094031
-12.854,-0.83346,10.591,312.32,-0.073965,-0.2,-0.086158
-12.813,1.2218,10.608,285.11,-0.067123,-0.2,-0.078285
-12.778,1.6783,10.65,255.27,-0.06028,-0.2,-0.070412
-13.033,1.3164,11.003,227.37,-0.053968,-0.2,-0.063149
-9.4769,-4.3522,9.1562,370.98,-0.10545,-0.2,-0.099296
