"U:0","U:1","U:2","Points:0","Points:1","Points:2"
-11.868694,-2.9808216,4.3408914,-0.051881,-0.2,-0.12404000000000001
-10.487599,-3.1929398,3.4117532,-0.055958,-0.2,-0.13364
-12.258653,-2.9213214,2.692797,-0.033694,-0.2,-0.13015
-10.810506,-3.1130648,1.9107201,-0.036362,-0.2,-0.14023
-13.326754,-2.3152738,5.130856,-0.047803,-0.2,-0.11442999999999999
-13.793746,-2.3063667,3.3053184,-0.031025999999999998,-0.2,-0.12005999999999999
-13.396321,-0.8289185,5.0606084,-0.043726,-0.2,-0.10482999999999999
-13.887981,-0.88072133,3.2048647,-0.028359,-0.2,-0.10998
-13.395706,0.9888725,5.105951,-0.039648,-0.2,-0.09522
-13.909995,0.89130324,3.2608023,-0.025691000000000002,-0.2,-0.099892
-13.394877,1.4676595,5.0600624,-0.035571,-0.2,-0.085615
-13.919436,1.3661512,3.2077432,-0.023023,-0.2,-0.089806
-13.651535,1.056167,5.169392,-0.031809,-0.2,-0.076752
-14.167799,0.93860334,3.2478688,-0.020562,-0.2,-0.080501
-10.948171,-3.0147226,0.29397085,-0.016036,-0.2,-0.14400000000000002
-12.434965,-2.8469088,0.90081334,-0.014831,-0.2,-0.13364
-14.01403,-2.290354,1.3059126,-0.013626,-0.2,-0.12327
-14.137252,-0.93627775,1.1673442,-0.01242,-0.2,-0.11291
-14.192408,0.77953315,1.2311165,-0.011215000000000001,-0.2,-0.10254
-14.208447,1.2481283,1.1754282,-0.01001,-0.2,-0.09218
-14.437811,0.80737025,1.1635128,-0.0088985,-0.2,-0.082618
-10.819906,-2.9054573,-1.3861234,0.0046186000000000005,-0.2,-0.14479
-12.331716,-2.7646978,-0.9371839,0.004336199999999999,-0.2,-0.13437000000000002
-13.937473,-2.272792,-0.72939044,0.0040539,-0.2,-0.12394000000000001
-14.08553,-0.9944991,-0.9170669,0.0037715000000000005,-0.2,-0.11352000000000001
-14.181302,0.66471,-0.84747505,0.0034891999999999996,-0.2,-0.10309000000000001
-14.20267,1.1279325,-0.89888686,0.0032069000000000004,-0.2,-0.092668
-14.40022,0.6770362,-0.94980854,0.0029463000000000002,-0.2,-0.08305
-10.490849,-2.7890594,-3.057564,0.025192,-0.2,-0.14274
-12.000996,-2.6760669,-2.7934616,0.023426,-0.2,-0.13246
-13.5934305,-2.2483652,-2.7932389,0.021661,-0.2,-0.12217
-13.740909,-1.0441576,-3.0178108,0.019895,-0.2,-0.11188
-13.871126,0.557389,-2.945541,0.01813,-0.2,-0.10159
-13.908777,1.009028,-2.985494,0.016364,-0.2,-0.091307
-14.076848,0.5463372,-3.0630112,0.014735,-0.2,-0.081816
-9.980869,-2.6686482,-4.573686,0.045214,-0.2,-0.13759000000000002
-11.444732,-2.5838897,-4.5335345,0.042006,-0.2,-0.12768
-12.98439,-2.2181547,-4.769322,0.038798,-0.2,-0.11775999999999999
-13.129326,-1.083145,-5.0238366,0.03559,-0.2,-0.10784
-13.287788,0.46016535,-4.9561205,0.032382,-0.2,-0.097928
-13.348405,0.8908339,-4.9865565,0.029174000000000002,-0.2,-0.088012
-13.487305,0.410987,-5.0817122,0.026215,-0.2,-0.078863
-9.285979,-2.5470877,-5.9425945,0.064364,-0.2,-0.12982
-10.669808,-2.4915588,-6.145866,0.059772000000000006,-0.2,-0.12045
-12.1252165,-2.1869552,-6.6283517,0.05517999999999999,-0.2,-0.11108
-12.26985,-1.114623,-6.906294,0.050588,-0.2,-0.10171000000000001
-12.456971,0.3707941,-6.851198,0.045995999999999995,-0.2,-0.092346
-12.541288,0.7691964,-6.876609,0.041404,-0.2,-0.082978
-12.651619,0.26613176,-6.9675884,0.037167,-0.2,-0.074335
-8.4456835,-2.43116,-7.255115,0.082161,-0.2,-0.11930999999999999
-9.718014,-2.4045246,-7.65701,0.076284,-0.2,-0.11069000000000001
-11.048468,-2.1591003,-8.33707,0.07040700000000001,-0.2,-0.10207999999999999
-11.181703,-1.142159,-8.635613,0.06452999999999999,-0.2,-0.093459
-11.3947315,0.2853212,-8.603292,0.058653,-0.2,-0.084842
-11.501875,0.63929254,-8.620874,0.052775999999999997,-0.2,-0.076226
-11.588917,0.106794484,-8.687762,0.047354,-0.2,-0.068276
-7.4312882,-2.3250704,-8.427208,0.098271,-0.2,-0.10637
-8.569595,-2.3279576,-9.006604,0.09123099999999999,-0.2,-0.098682
-9.755857,-2.1409407,-9.86545,0.08419199999999999,-0.2,-0.090994
-9.880261,-1.1729385,-10.189148,0.077152,-0.2,-0.08330599999999999
-10.116267,0.19757384,-10.190013,0.070112,-0.2,-0.07561699999999999
-10.245172,0.49870238,-10.185758,0.063073,-0.2,-0.067929
-10.318661,-0.052454036,-10.2187805,0.056577999999999996,-0.2,-0.060836
-6.280259,-2.2457826,-9.495508,0.11255,-0.2,-0.091419
-7.2608566,-2.2715569,-10.21414,0.10447000000000001,-0.2,-0.084797
-8.275317,-2.1365147,-11.208423,0.09639,-0.2,-0.078175
-8.384079,-1.2131913,-11.547798,0.08831,-0.2,-0.07155299999999999
-8.638998,0.1051705,-11.577655,0.080231,-0.2,-0.06493099999999999
-8.782084,0.34934947,-11.545574,0.072152,-0.2,-0.058309
-8.854034,-0.20255953,-11.535957,0.064697,-0.2,-0.0522
-5.0869865,-2.195097,-10.410429,0.12426,-0.2,-0.074379
-5.8609295,-2.2374122,-11.237151,0.11534000000000001,-0.2,-0.068986
-6.651289,-2.1423295,-12.326487,0.10642,-0.2,-0.063593
-6.732378,-1.2528912,-12.670463,0.097498,-0.2,-0.0582
-6.9914117,0.011939369,-12.728833,0.088577,-0.2,-0.05280700000000001
-7.15401,0.19108827,-12.677658,0.07965599999999999,-0.2,-0.047414
-7.241221,-0.36148673,-12.619498,0.071425,-0.2,-0.042438
-3.807498,-2.1676795,-11.069131,0.13364,-0.2,-0.055958
-4.400557,-2.2254133,-11.983882,0.12403,-0.2,-0.051886
-5.0003796,-2.166507,-13.159302,0.11442999999999999,-0.2,-0.047813999999999995
-5.059422,-1.3025683,-13.514636,0.10482000000000001,-0.2,-0.043742
-5.316499,-0.08412817,-13.5929365,0.09521,-0.2,-0.03967
-5.5132732,0.036668226,-13.527291,0.085602,-0.2,-0.035598000000000005
-5.629053,-0.513908,-13.425658,0.076738,-0.2,-0.031841
-11.360685,-3.024887,5.735194,-0.064555,-0.2,-0.11792000000000001
-10.065745,-3.257724,4.718329,-0.069613,-0.2,-0.12704000000000001
-12.713936,-2.3095696,6.632377,-0.059497,-0.2,-0.10879000000000001
-12.755657,-0.77188545,6.579232,-0.054438,-0.2,-0.09966599999999999
-12.738189,1.0738412,6.6144753,-0.04938,-0.2,-0.09054
-12.726728,1.5443873,6.591983,-0.044322,-0.2,-0.081415
-12.984392,1.1488868,6.773779,-0.039655,-0.2,-0.072996
-9.53944,-3.3184962,5.8759513,-0.082504,-0.2,-0.11905999999999999
-10.738057,-3.064577,6.9615774,-0.076521,-0.2,-0.11051
-11.973797,-2.3019893,7.9395823,-0.070538,-0.2,-0.10197
-11.983773,-0.7196263,7.8937407,-0.064555,-0.2,-0.093421
-11.954048,1.1471465,7.9184422,-0.058571000000000005,-0.2,-0.084876
-11.930081,1.6063056,7.929164,-0.052588,-0.2,-0.07633
-12.172492,1.2282386,8.171742,-0.047068,-0.2,-0.068445
-8.908284,-3.375,6.9335103,-0.094493,-0.2,-0.10977999999999999
-9.994541,-3.1026318,8.100317,-0.08765,-0.2,-0.1019
-11.096998,-2.2993329,9.171075,-0.080808,-0.2,-0.09403099999999999
-11.075461,-0.6789534,9.129037,-0.073965,-0.2,-0.086158
-11.035219,1.2061043,9.13889,-0.067123,-0.2,-0.07828500000000001
-10.998655,1.6571476,9.169566,-0.06027999999999999,-0.2,-0.070412
-11.213664,1.2985115,9.469319,-0.053967999999999995,-0.2,-0.063149
-8.175069,-3.427176,7.9014397,-0.10545,-0.2,-0.09929600000000001
-9.136019,-3.13845,9.1485615,-0.09782,-0.2,-0.092181
-10.093466,-2.2994542,10.308181,-0.090192,-0.2,-0.085066
-10.043446,-0.6466158,10.263693,-0.082565,-0.2,-0.07795099999999999
-9.996149,1.2523291,10.255809,-0.074937,-0.2,-0.070836
-9.945509,1.6940544,10.297664,-0.06731000000000001,-0.2,-0.063722
-10.119524,1.3544202,10.649634,-0.060273,-0.2,-0.05715800000000001
