"U:0","U:1","U:2","Points:0","Points:1","Points:2"
-11.895562,-3.1048079,4.2925396,-0.051881,-0.2,-0.12404000000000001
-10.511542,-3.3247044,3.3738127,-0.055958,-0.2,-0.13364
-12.286391,-3.042801,2.6628675,-0.033694,-0.2,-0.13015
-10.835184,-3.241439,1.8895037,-0.036362,-0.2,-0.14023
-13.356656,-2.4117548,5.0735483,-0.047803,-0.2,-0.11442999999999999
-13.824675,-2.4024749,3.2684977,-0.031025999999999998,-0.2,-0.12005999999999999
-13.42605,-0.8591675,5.00377,-0.043726,-0.2,-0.10482999999999999
-13.918781,-0.91312116,3.1688826,-0.028359,-0.2,-0.10998
-13.425158,0.950678,5.0483556,-0.039648,-0.2,-0.09522
-13.940557,0.8564357,3.224001,-0.025691000000000002,-0.2,-0.099892
-13.424054,1.4160093,5.002774,-0.035571,-0.2,-0.085615
-13.949736,1.3179919,3.1713998,-0.023023,-0.2,-0.089806
-13.680976,1.020285,5.110704,-0.031809,-0.2,-0.076752
-14.198335,0.9067872,3.2109349,-0.020562,-0.2,-0.080501
-10.973081,-3.1391158,0.2906898,-0.016036,-0.2,-0.14400000000000002
-12.463005,-2.965416,0.89081323,-0.014831,-0.2,-0.13364
-14.04534,-2.3858922,1.291403,-0.013626,-0.2,-0.12327
-14.168497,-0.97105056,1.1541482,-0.01242,-0.2,-0.11291
-14.223489,0.7484783,1.2170837,-0.011215000000000001,-0.2,-0.10254
-14.239282,1.2039957,1.1619595,-0.01001,-0.2,-0.09218
-14.468843,0.78005713,1.1500779,-0.0088985,-0.2,-0.082618
-10.8443575,-3.0256438,-1.40065,0.0046186000000000005,-0.2,-0.14479
-12.35934,-2.8801055,-0.9470239,0.004336199999999999,-0.2,-0.13437000000000002
-13.968408,-2.3678582,-0.73708314,0.0040539,-0.2,-0.12394000000000001
-14.116472,-1.0318762,-0.9265839,0.0037715000000000005,-0.2,-0.11352000000000001
-14.212183,0.6375782,-0.8562131,0.0034891999999999996,-0.2,-0.10309000000000001
-14.233327,1.0878768,-0.9081845,0.0032069000000000004,-0.2,-0.092668
-14.431019,0.6541751,-0.9596074,0.0029463000000000002,-0.2,-0.08305
-10.51432,-2.904945,-3.0895836,0.025192,-0.2,-0.14274
-12.027631,-2.7882855,-2.822765,0.023426,-0.2,-0.13246
-13.623329,-2.3428178,-2.8226233,0.021661,-0.2,-0.12217
-13.77083,-1.0838807,-3.0494702,0.019895,-0.2,-0.11188
-13.901087,0.5339509,-2.9764771,0.01813,-0.2,-0.10159
-13.938572,0.97299963,-3.0169337,0.016364,-0.2,-0.091307
-14.106746,0.52794826,-3.0952992,0.014735,-0.2,-0.081816
-10.002909,-2.780219,-4.6215134,0.045214,-0.2,-0.13759000000000002
-11.46981,-2.6929076,-4.581006,0.042006,-0.2,-0.12768
-13.012597,-2.311866,-4.8193808,0.038798,-0.2,-0.11775999999999999
-13.157593,-1.1248628,-5.076559,0.03559,-0.2,-0.10784
-13.316189,0.44011816,-5.0082517,0.032382,-0.2,-0.097928
-13.376719,0.85880613,-5.0391526,0.029174000000000002,-0.2,-0.088012
-13.515697,0.39720944,-5.135413,0.026215,-0.2,-0.078863
-9.30616,-2.654414,-6.004635,0.064364,-0.2,-0.12982
-10.692821,-2.5974884,-6.210104,0.059772000000000006,-0.2,-0.12045
-12.151159,-2.2800045,-6.697778,0.05517999999999999,-0.2,-0.11108
-12.295909,-1.1581018,-6.978705,0.050588,-0.2,-0.10171000000000001
-12.483261,0.35390484,-6.923238,0.045995999999999995,-0.2,-0.092346
-12.56758,0.7412882,-6.949123,0.041404,-0.2,-0.082978
-12.677969,0.25726575,-7.0412273,0.037167,-0.2,-0.074335
-8.46369,-2.5346575,-7.330726,0.082161,-0.2,-0.11930999999999999
-9.738594,-2.5077593,-7.7369094,0.076284,-0.2,-0.11069000000000001
-11.071701,-2.2517922,-8.424243,0.07040700000000001,-0.2,-0.10207999999999999
-11.205076,-1.1873572,-8.726055,0.06452999999999999,-0.2,-0.093459
-11.418427,0.27148893,-8.693687,0.058653,-0.2,-0.084842
-11.52566,0.6158147,-8.711712,0.052775999999999997,-0.2,-0.076226
-11.612754,0.1033429,-8.779527,0.047354,-0.2,-0.068276
-7.446787,-2.4253132,-8.514891,0.098271,-0.2,-0.10637
-8.587367,-2.429081,-9.1004505,0.09123099999999999,-0.2,-0.098682
-9.77597,-2.2338367,-9.968461,0.08419199999999999,-0.2,-0.090994
-9.900544,-1.2201341,-10.295761,0.077152,-0.2,-0.08330599999999999
-10.136957,0.18694523,-10.297005,0.070112,-0.2,-0.07561699999999999
-10.266033,0.48009393,-10.292999,0.063073,-0.2,-0.067929
-10.339593,-0.055262268,-10.326648,0.056577999999999996,-0.2,-0.060836
-6.293041,-2.344076,-9.594168,0.11255,-0.2,-0.091419
-7.2755713,-2.3715584,-10.320442,0.10447000000000001,-0.2,-0.084797
-8.29201,-2.2303066,-11.325331,0.09639,-0.2,-0.078175
-8.400951,-1.2628566,-11.668537,0.08831,-0.2,-0.07155299999999999
-8.656345,0.09792612,-11.699143,0.080231,-0.2,-0.06493099999999999
-8.799666,0.33596638,-11.667064,0.072152,-0.2,-0.058309
-8.871726,-0.21192831,-11.65768,0.064697,-0.2,-0.0522
-5.097065,-2.292783,-10.518484,0.12426,-0.2,-0.074379
-5.872511,-2.33732,-11.354002,0.11534000000000001,-0.2,-0.068986
-6.6643906,-2.2375057,-12.454965,0.10642,-0.2,-0.063593
-6.745635,-1.3050747,-12.80288,0.097498,-0.2,-0.0582
-7.0051727,0.008129698,-12.862356,0.088577,-0.2,-0.05280700000000001
-7.16807,0.18329601,-12.811007,0.07965599999999999,-0.2,-0.047414
-7.2554493,-0.3779776,-12.752624,0.071425,-0.2,-0.042438
-3.8148222,-2.2657259,-11.183949,0.13364,-0.2,-0.055958
-4.4090185,-2.32616,-12.108426,0.12403,-0.2,-0.051886
-5.009981,-2.2638898,-13.296399,0.11442999999999999,-0.2,-0.047813999999999995
-5.069155,-1.3577852,-13.65585,0.10482000000000001,-0.2,-0.043742
-5.326741,-0.084786125,-13.735507,0.09521,-0.2,-0.03967
-5.5238943,0.034285728,-13.669536,0.085602,-0.2,-0.035598000000000005
-5.639916,-0.5372377,-13.567277,0.076738,-0.2,-0.031841
-11.386358,-3.1508524,5.6712036,-0.064555,-0.2,-0.11792000000000001
