"U:0","U:1","U:2","Points:0","Points:1","Points:2"
-12.152996,-3.3549013,4.4702077,-0.051881,-0.2,-0.12404000000000001
-10.737711,-3.5920196,3.5131812,-0.055958,-0.2,-0.13364
-12.552167,-3.2877274,2.773096,-0.033694,-0.2,-0.13015
-11.068284,-3.501748,1.9676318,-0.036362,-0.2,-0.14023
-13.647346,-2.6052508,5.284192,-0.047803,-0.2,-0.11442999999999999
-14.125327,-2.5951426,3.404127,-0.031025999999999998,-0.2,-0.12005999999999999
-13.7193,-0.919485,5.212755,-0.043726,-0.2,-0.10482999999999999
-14.222584,-0.9777033,3.301443,-0.028359,-0.2,-0.10998
-13.719979,0.8749539,5.260195,-0.039648,-0.2,-0.09522
-14.2465,0.78733116,3.3596,-0.025691000000000002,-0.2,-0.099892
-13.720512,1.314196,5.213554,-0.035571,-0.2,-0.085615
-14.257615,1.2230886,3.305332,-0.023023,-0.2,-0.089806
-13.984317,0.9499288,5.3266993,-0.031809,-0.2,-0.076752
-14.512978,0.84442043,3.347063,-0.020562,-0.2,-0.080501
-11.2093,-3.3908272,0.30280313,-0.016036,-0.2,-0.14400000000000002
-12.732669,-3.2038891,0.9277313,-0.014831,-0.2,-0.13364
-14.350759,-2.577077,1.344967,-0.013626,-0.2,-0.12327
-14.477699,-1.0402496,1.2028615,-0.01242,-0.2,-0.11291
-14.535568,0.6870214,1.2688849,-0.011215000000000001,-0.2,-0.10254
-14.553467,1.1171435,1.2116766,-0.01001,-0.2,-0.09218
-14.78941,0.7265812,1.1996692,-0.0088985,-0.2,-0.082618
-11.078093,-3.267953,-1.3468797,0.0046186000000000005,-0.2,-0.14479
-12.627001,-3.111552,-0.91060877,0.004336199999999999,-0.2,-0.13437000000000002
-14.272297,-2.5575035,-0.7086211,0.0040539,-0.2,-0.12394000000000001
-14.42468,-1.1060448,-0.8913795,0.0037715000000000005,-0.2,-0.11352000000000001
-14.524124,0.58402455,-0.82389724,0.0034891999999999996,-0.2,-0.10309000000000001
-14.547414,1.009232,-0.8738063,0.0032069000000000004,-0.2,-0.092668
-14.750758,0.60950947,-0.92338324,0.0029463000000000002,-0.2,-0.08305
-10.741357,-3.1373942,-2.9707532,0.025192,-0.2,-0.14274
-12.288596,-3.0122743,-2.7140586,0.023426,-0.2,-0.13246
-13.920091,-2.5304189,-2.7136621,0.021661,-0.2,-0.12217
-14.071742,-1.1623895,-2.9321196,0.019895,-0.2,-0.11188
-14.206414,0.48785615,-2.8618543,0.01813,-0.2,-0.10159
-14.246294,0.9024938,-2.9004915,0.016364,-0.2,-0.091307
-14.419396,0.4921258,-2.9757595,0.014735,-0.2,-0.081816
-10.219487,-3.0025485,-4.4435678,0.045214,-0.2,-0.13759000000000002
-11.719189,-2.9091864,-4.40449,0.042006,-0.2,-0.12768
-13.296472,-2.4969513,-4.633354,0.038798,-0.2,-0.11775999999999999
-13.445523,-1.2068908,-4.880749,0.03559,-0.2,-0.10784
-13.609022,0.40087587,-4.8147526,0.032382,-0.2,-0.097928
-13.672283,0.7963917,-4.844043,0.029174000000000002,-0.2,-0.088012
-13.815472,0.37047106,-4.9363136,0.026215,-0.2,-0.078863
-9.50833,-2.8666387,-5.7732477,0.064364,-0.2,-0.12982
-10.925813,-2.8061364,-5.9707065,0.059772000000000006,-0.2,-0.12045
-12.416656,-2.462568,-6.4392447,0.05517999999999999,-0.2,-0.11108
-12.565508,-1.243074,-6.7092667,0.050588,-0.2,-0.10171000000000001
-12.758219,0.3210264,-6.655388,0.045995999999999995,-0.2,-0.092346
-12.8455925,0.6871717,-6.6797156,0.041404,-0.2,-0.082978
-12.95945,0.24013597,-6.7678337,0.037167,-0.2,-0.074335
-8.648214,-2.7375085,-7.048089,0.082161,-0.2,-0.11930999999999999
-9.951426,-2.709435,-7.438527,0.076284,-0.2,-0.11069000000000001
-11.314198,-2.4322805,-8.099007,0.07040700000000001,-0.2,-0.10207999999999999
-11.451323,-1.2750784,-8.38894,0.06452999999999999,-0.2,-0.093459
-11.670421,0.2447312,-8.357061,0.058653,-0.2,-0.084842
-11.780981,0.57054734,-8.3737545,0.052775999999999997,-0.2,-0.076226
-11.870893,0.09670813,-8.438416,0.047354,-0.2,-0.068276
-7.6097527,-2.6198764,-8.186464,0.098271,-0.2,-0.10637
-8.775635,-2.624849,-8.749329,0.09123099999999999,-0.2,-0.098682
-9.990638,-2.4132144,-9.583474,0.08419199999999999,-0.2,-0.090994
-10.11867,-1.3110315,-9.897752,0.077152,-0.2,-0.08330599999999999
-10.361152,0.16652763,-9.898018,0.070112,-0.2,-0.07561699999999999
-10.493819,0.44443947,-9.893513,0.063073,-0.2,-0.067929
-10.569776,-0.06063008,-9.925233,0.056577999999999996,-0.2,-0.060836
-6.4312973,-2.5328763,-9.223971,0.11255,-0.2,-0.091419
-7.435613,-2.5632885,-9.92207,0.10447000000000001,-0.2,-0.084797
-8.474588,-2.4098015,-10.887756,0.09639,-0.2,-0.078175
-8.586528,-1.3577293,-11.217185,0.08831,-0.2,-0.07155299999999999
-8.848224,0.08411305,-11.245545,0.080231,-0.2,-0.06493099999999999
-8.995244,0.31049547,-11.214016,0.072152,-0.2,-0.058309
-9.0695505,-0.22972879,-11.204269,0.064697,-0.2,-0.0522
-5.2094765,-2.4783633,-10.112464,0.12426,-0.2,-0.074379
-6.002124,-2.5269234,-10.915535,0.11534000000000001,-0.2,-0.068986
-6.8115273,-2.4179401,-11.973517,0.10642,-0.2,-0.063593
-6.89503,-1.4038998,-12.307342,0.097498,-0.2,-0.0582
-7.160791,0.00092252996,-12.363348,0.088577,-0.2,-0.05280700000000001
-7.3276234,0.1685701,-12.31331,0.07965599999999999,-0.2,-0.047414
-7.4174376,-0.40911195,-12.256361,0.071425,-0.2,-0.042438
-3.8992002,-2.449904,-10.752053,0.13364,-0.2,-0.055958
-4.506609,-2.5153642,-11.640634,0.12403,-0.2,-0.051886
-5.120849,-2.4467313,-12.782203,0.11442999999999999,-0.2,-0.047813999999999995
-5.1816745,-1.461433,-13.126969,0.10482000000000001,-0.2,-0.043742
-5.4452767,-0.08602086,-13.202305,0.09521,-0.2,-0.03967
-5.646967,0.02981571,-13.138298,0.085602,-0.2,-0.035598000000000005
-5.7659187,-0.58099854,-13.039058,0.076738,-0.2,-0.031841
-11.632951,-3.4047742,5.9059577,-0.064555,-0.2,-0.11792000000000001
