"U:0","U:1","U:2","Points:0","Points:1","Points:2"
-12.645256,-3.3293502,4.462809,-0.051881,-0.2,-0.12404000000000001
-11.200714,-3.5593932,3.5069735,-0.055958,-0.2,-0.13364
-13.111749,-3.280474,2.7610402,-0.033694,-0.2,-0.13015
-11.594131,-3.4902043,1.9584641,-0.036362,-0.2,-0.14023
-14.163875,-2.589374,5.276021,-0.047803,-0.2,-0.11442999999999999
-14.713048,-2.5923016,3.3903737,-0.031025999999999998,-0.2,-0.12005999999999999
-14.200747,-0.9157611,5.2052293,-0.043726,-0.2,-0.10482999999999999
-14.770743,-0.97771883,3.2890525,-0.028359,-0.2,-0.10998
-14.164121,0.87807494,5.253145,-0.039648,-0.2,-0.09522
-14.752466,0.7862699,3.3479986,-0.025691000000000002,-0.2,-0.099892
-14.127055,1.3162844,5.207102,-0.035571,-0.2,-0.085615
-14.720486,1.2201858,3.2949288,-0.023023,-0.2,-0.089806
-14.362508,0.95001674,5.320608,-0.031809,-0.2,-0.076752
-14.942414,0.8416304,3.3374753,-0.020562,-0.2,-0.080501
-11.78069,-3.4001603,0.30053148,-0.016036,-0.2,-0.14400000000000002
-13.341193,-3.2149527,0.92128205,-0.014831,-0.2,-0.13364
-14.9903345,-2.5877376,1.3363,-0.013626,-0.2,-0.12327
-15.075004,-1.0447598,1.1956067,-0.01242,-0.2,-0.11291
-15.087738,0.6824344,1.2618388,-0.011215000000000001,-0.2,-0.10254
-15.058416,1.109836,1.205555,-0.01001,-0.2,-0.09218
-15.256692,0.72161126,1.1941533,-0.0088985,-0.2,-0.082618
-11.669513,-3.2971494,-1.3604878,0.0046186000000000005,-0.2,-0.14479
-13.258803,-3.1403143,-0.9191948,0.004336199999999999,-0.2,-0.13437000000000002
-14.9379,-2.581782,-0.714837,0.0040539,-0.2,-0.12394000000000001
-15.047319,-1.1158149,-0.8984539,0.0037715000000000005,-0.2,-0.11352000000000001
-15.101195,0.57677287,-0.82982516,0.0034891999999999996,-0.2,-0.10309000000000001
-15.075032,0.99829644,-0.87950915,0.0032069000000000004,-0.2,-0.092668
-15.237715,0.6031499,-0.9288042,0.0029463000000000002,-0.2,-0.08305
-11.329352,-3.184825,-3.0078938,0.025192,-0.2,-0.14274
-12.919263,-3.0575926,-2.7457302,0.023426,-0.2,-0.13246
-14.585717,-2.5680296,-2.7430797,0.021661,-0.2,-0.12217
-14.694326,-1.1779746,-2.961277,0.019895,-0.2,-0.11188
-14.784957,0.478802,-2.8878534,0.01813,-0.2,-0.10159
-14.77577,0.88880086,-2.9243705,0.016364,-0.2,-0.091307
-14.907073,0.4852455,-2.9978638,0.014735,-0.2,-0.081816
-10.78079,-3.0661244,-4.5083356,0.045214,-0.2,-0.13759000000000002
-12.322666,-2.969507,-4.4644337,0.042006,-0.2,-0.12768
-13.934442,-2.547226,-4.691941,0.038798,-0.2,-0.11775999999999999
-14.04277,-1.2285572,-4.9375424,0.03559,-0.2,-0.10784
-14.165652,0.3908135,-4.8660173,0.032382,-0.2,-0.097928
-14.182708,0.7808825,-4.890795,0.029174000000000002,-0.2,-0.088012
-14.284992,0.36402723,-4.979339,0.026215,-0.2,-0.078863
-10.022496,-2.9440472,-5.8674765,0.064364,-0.2,-0.12982
-11.479542,-2.8797138,-6.061757,0.059772000000000006,-0.2,-0.12045
-13.003134,-2.5246747,-6.53052,0.05517999999999999,-0.2,-0.11108
-13.115619,-1.2708954,-6.7969446,0.050588,-0.2,-0.10171000000000001
-13.2727375,0.31069243,-6.7350574,0.045995999999999995,-0.2,-0.092346
-13.318568,0.67088854,-6.7522273,0.041404,-0.2,-0.082978
-13.394025,0.2351985,-6.834213,0.037167,-0.2,-0.074335
-9.09893,-2.8265212,-7.172762,0.082161,-0.2,-0.11930999999999999
-10.437787,-2.794544,-7.5615926,0.076284,-0.2,-0.11069000000000001
-11.829892,-2.5053334,-8.223664,0.07040700000000001,-0.2,-0.10207999999999999
-11.935585,-1.3090314,-8.508151,0.06452999999999999,-0.2,-0.093459
-12.125383,0.23485975,-8.4659605,0.058653,-0.2,-0.084842
-12.20055,0.55468744,-8.472761,0.052775999999999997,-0.2,-0.076226
-12.256247,0.09449957,-8.52861,0.047354,-0.2,-0.068276
-7.98386,-2.718513,-8.33939,0.098271,-0.2,-0.10637
-9.18056,-2.7199724,-8.902377,0.09123099999999999,-0.2,-0.098682
-10.420893,-2.496493,-9.739587,0.08419199999999999,-0.2,-0.090994
-10.52355,-1.3512142,-10.046809,0.077152,-0.2,-0.08330599999999999
-10.7437525,0.15796614,-10.034841,0.070112,-0.2,-0.07561699999999999
-10.848152,0.4303187,-10.017674,0.063073,-0.2,-0.067929
-10.895508,-0.06263824,-10.03791,0.056577999999999996,-0.2,-0.060836
-6.7231035,-2.640254,-9.402249,0.11255,-0.2,-0.091419
-7.7525887,-2.6675525,-10.101839,0.10447000000000001,-0.2,-0.084797
-8.812096,-2.5028136,-11.071621,0.09639,-0.2,-0.078175
-8.904732,-1.404397,-11.392489,0.08831,-0.2,-0.07155299999999999
-9.151205,0.0776906,-11.406988,0.080231,-0.2,-0.06493099999999999
-9.277206,0.2993552,-11.360249,0.072152,-0.2,-0.058309
