"U:0","U:1","U:2","Points:0","Points:1","Points:2"
-12.2626915,-3.3624094,4.4738126,-0.051881,-0.2,-0.12404000000000001
-10.832867,-3.5988653,3.515492,-0.055958,-0.2,-0.13364
-12.666138,-3.2951481,2.775179,-0.033694,-0.2,-0.13015
-11.16789,-3.5085196,1.9687629,-0.036362,-0.2,-0.14023
-13.772547,-2.6113741,5.2895837,-0.047803,-0.2,-0.11442999999999999
-14.254771,-2.601256,3.4074812,-0.031025999999999998,-0.2,-0.12005999999999999
-13.84653,-0.9208295,5.2189493,-0.043726,-0.2,-0.10482999999999999
-14.354815,-0.9793305,3.3054993,-0.028359,-0.2,-0.10998
-13.847596,0.8800802,5.266297,-0.039648,-0.2,-0.09522
-14.379139,0.79189426,3.3633885,-0.025691000000000002,-0.2,-0.099892
-13.847164,1.3188251,5.2191405,-0.035571,-0.2,-0.085615
-14.388959,1.2270925,3.3089538,-0.023023,-0.2,-0.089806
-14.112019,0.94920576,5.3311996,-0.031809,-0.2,-0.076752
-14.645113,0.84279853,3.3497243,-0.020562,-0.2,-0.080501
-11.310643,-3.3975744,0.3024117,-0.016036,-0.2,-0.14400000000000002
-12.848805,-3.2113264,0.92797863,-0.014831,-0.2,-0.13364
-14.482655,-2.5833063,1.3460314,-0.013626,-0.2,-0.12327
-14.612357,-1.0422274,1.2044197,-0.01242,-0.2,-0.11291
-14.671194,0.6908271,1.2700859,-0.011215000000000001,-0.2,-0.10254
-14.687318,1.12036,1.213055,-0.01001,-0.2,-0.09218
-14.924164,0.72402406,1.200296,-0.0088985,-0.2,-0.082618
-11.1787,-3.2747517,-1.3639989,0.0046186000000000005,-0.2,-0.14479
-12.74262,-3.1190703,-0.9224375,0.004336199999999999,-0.2,-0.13437000000000002
-14.403928,-2.564005,-0.7179837,0.0040539,-0.2,-0.12394000000000001
-14.559089,-1.1084346,-0.9023414,0.0037715000000000005,-0.2,-0.11352000000000001
-14.659641,0.58710164,-0.83440346,0.0034891999999999996,-0.2,-0.10309000000000001
-14.680664,1.0116632,-0.8843799,0.0032069000000000004,-0.2,-0.092668
-14.884699,0.6061732,-0.9349184,0.0029463000000000002,-0.2,-0.08305
-10.839182,-3.14444,-3.0081027,0.025192,-0.2,-0.14274
-12.402352,-3.0200746,-2.7481701,0.023426,-0.2,-0.13246
-14.0492525,-2.5372672,-2.7478766,0.021661,-0.2,-0.12217
-14.2033615,-1.1653377,-2.9688396,0.019895,-0.2,-0.11188
-14.338975,0.4901177,-2.8981357,0.01813,-0.2,-0.10159
-14.376354,0.9041445,-2.9361012,0.016364,-0.2,-0.091307
-14.549374,0.48814142,-3.0125144,0.014735,-0.2,-0.081816
-10.312947,-3.0096831,-4.4995694,0.045214,-0.2,-0.13759000000000002
-11.827699,-2.9172335,-4.4595613,0.042006,-0.2,-0.12768
-13.419926,-2.5042424,-4.6912627,0.038798,-0.2,-0.11775999999999999
-13.571234,-1.2105634,-4.942076,0.03559,-0.2,-0.10784
-13.736156,0.40222585,-4.875786,0.032382,-0.2,-0.097928
-13.796342,0.7972428,-4.9036417,0.029174000000000002,-0.2,-0.088012
-13.939704,0.36586973,-4.9968863,0.026215,-0.2,-0.078863
-9.596043,-2.8742228,-5.846174,0.064364,-0.2,-0.12982
-11.02661,-2.8146362,-6.0452185,0.059772000000000006,-0.2,-0.12045
-12.531104,-2.4704642,-6.5192785,0.05517999999999999,-0.2,-0.11108
-12.682966,-1.2475278,-6.7938323,0.050588,-0.2,-0.10171000000000001
-12.876848,0.32144538,-6.7397676,0.045995999999999995,-0.2,-0.092346
-12.961791,0.6871481,-6.7620187,0.041404,-0.2,-0.082978
-13.07539,0.2348024,-6.8506117,0.037167,-0.2,-0.074335
-8.728235,-2.7459333,-7.137095,0.082161,-0.2,-0.11930999999999999
-10.04341,-2.7187126,-7.5312285,0.076284,-0.2,-0.11069000000000001
-11.418606,-2.4409676,-8.199727,0.07040700000000001,-0.2,-0.10207999999999999
-11.558513,-1.2803575,-8.494415,0.06452999999999999,-0.2,-0.093459
-11.778802,0.24434394,-8.46294,0.058653,-0.2,-0.084842
-11.88645,0.56968766,-8.4764805,0.052775999999999997,-0.2,-0.076226
-11.97609,0.090476036,-8.54144,0.047354,-0.2,-0.068276
-7.67991,-2.6291528,-8.28986,0.098271,-0.2,-0.10637
-8.856483,-2.634898,-8.858102,0.09123099999999999,-0.2,-0.098682
-10.082525,-2.4227328,-9.702562,0.08419199999999999,-0.2,-0.090994
-10.212977,-1.3172793,-10.022342,0.077152,-0.2,-0.08330599999999999
-10.456574,0.16526683,-10.022869,0.070112,-0.2,-0.07561699999999999
-10.586629,0.44260287,-10.014528,0.063073,-0.2,-0.067929
-10.662713,-0.06776613,-10.046291,0.056577999999999996,-0.2,-0.060836
-6.4903326,-2.5432298,-9.340221,0.11255,-0.2,-0.091419
-7.503797,-2.5743139,-10.045367,0.10447000000000001,-0.2,-0.084797
-8.552322,-2.4202507,-11.022977,0.09639,-0.2,-0.078175
-8.66602,-1.3649248,-11.358383,0.08831,-0.2,-0.07155299999999999
-8.929072,0.081908844,-11.387157,0.080231,-0.2,-0.06493099999999999
-9.073879,0.3076254,-11.351126,0.072152,-0.2,-0.058309
-9.148713,-0.23765877,-11.34078,0.064697,-0.2,-0.0522
-5.257139,-2.4900117,-10.239305,0.12426,-0.2,-0.074379
-6.0569267,-2.5390575,-11.051211,0.11534000000000001,-0.2,-0.068986
-6.8733187,-2.4292858,-12.121759,0.10642,-0.2,-0.063593
-6.958354,-1.4120585,-12.461877,0.097498,-0.2,-0.0582
-7.225505,-0.0028887433,-12.519047,0.088577,-0.2,-0.05280700000000001
-7.390868,0.16461246,-12.463336,0.07965599999999999,-0.2,-0.047414
-7.481157,-0.41788158,-12.4056225,0.071425,-0.2,-0.042438
-3.9342628,-2.4627762,-10.886663,0.13364,-0.2,-0.055958
-4.547133,-2.5285363,-11.784748,0.12403,-0.2,-0.051886
-5.1666536,-2.4591146,-12.940374,0.11442999999999999,-0.2,-0.047813999999999995
-5.22858,-1.4706483,-13.292064,0.10482000000000001,-0.2,-0.043742
-5.4931784,-0.09103677,-13.368416,0.09521,-0.2,-0.03967
-5.6943526,0.024173735,-13.29778,0.085602,-0.2,-0.035598000000000005
-5.8142505,-0.590352,-13.197307,0.076738,-0.2,-0.031841
-11.737652,-3.4124653,5.910686,-0.064555,-0.2,-0.11792000000000001
-10.396659,-3.672503,4.8616548,-0.069613,-0.2,-0.12704000000000001
-13.139169,-2.604937,6.837683,-0.059497,-0.2,-0.10879000000000001
-13.1839905,-0.85653013,6.784918,-0.054438,-0.2,-0.09966599999999999
-13.16765,0.9569348,6.821875,-0.04938,-0.2,-0.09054
-13.156612,1.3883263,6.7988725,-0.044322,-0.2,-0.081415
-13.422568,1.0332799,6.985915,-0.039655,-0.2,-0.072996
-9.852364,-3.7417996,6.054343,-0.082504,-0.2,-0.11905999999999999
-11.094171,-3.457682,7.174366,-0.076521,-0.2,-0.11051
-12.374293,-2.596555,8.1850815,-0.070538,-0.2,-0.10197
-12.386353,-0.7976753,8.14015,-0.064555,-0.2,-0.093421
-12.356857,1.0232807,8.166818,-0.058571000000000005,-0.2,-0.084876
-12.333264,1.4442195,8.178055,-0.052588,-0.2,-0.07633
-12.583664,1.1047953,8.427353,-0.047068,-0.2,-0.068445
-9.20023,-3.8065057,7.1437855,-0.094493,-0.2,-0.10977999999999999
-10.325845,-3.5012007,8.348228,-0.08765,-0.2,-0.1019
-11.468368,-2.5938053,9.454745,-0.080808,-0.2,-0.09403099999999999
-11.447265,-0.7520827,9.413954,-0.073965,-0.2,-0.086158
-11.4070635,1.076656,9.425539,-0.067123,-0.2,-0.07828500000000001
-11.370616,1.4900023,9.457439,-0.06027999999999999,-0.2,-0.070412
-11.592705,1.1678976,9.765294,-0.053967999999999995,-0.2,-0.063149
-8.442309,-3.8665218,8.141163,-0.10545,-0.2,-0.09929600000000001
-9.438527,-3.5422745,9.42838,-0.09782,-0.2,-0.092181
-10.431496,-2.594345,10.627004,-0.090192,-0.2,-0.085066
-10.38043,-0.7159635,10.584012,-0.082565,-0.2,-0.07795099999999999
-10.333026,1.1185646,10.57742,-0.074937,-0.2,-0.070836
-10.282071,1.5236887,10.620598,-0.06731000000000001,-0.2,-0.063722
-10.462195,1.2189833,10.982468,-0.060273,-0.2,-0.05715800000000001
-7.5747495,-3.9215991,9.040436,-0.11525,-0.2,-0.08772999999999999
-8.431616,-3.5808034,10.403387,-0.10692,-0.2,-0.08145
-9.268827,-2.5977762,11.680788,-0.098587,-0.2,-0.075171
-9.195404,-0.68878967,11.628656,-0.090258,-0.2,-0.068892
-9.142595,1.1491014,11.605236,-0.081929,-0.2,-0.062612
-9.075433,1.5446584,11.6535015,-0.0736,-0.2,-0.056333
-9.202788,1.2558601,12.05985,-0.065916,-0.2,-0.050539999999999995
-6.6072044,-3.972038,9.83636,-0.12378,-0.2,-0.075204
-7.316467,-3.6169877,11.265411,-0.11484000000000001,-0.2,-0.069829
-7.9945188,-2.6041481,12.604567,-0.1059,-0.2,-0.064455
-7.90539,-0.6704266,12.535407,-0.096964,-0.2,-0.059079999999999994
-7.849629,1.1687081,12.497255,-0.088026,-0.2,-0.053704999999999996
-7.7654586,1.5535945,12.544867,-0.079087,-0.2,-0.04833
-7.831041,1.2780225,12.983961,-0.070841,-0.2,-0.043371
-15.075977,0.49583423,3.4297085,-0.019672,-0.2,-0.077065
-14.567543,0.62425095,5.501793,-0.030438,-0.2,-0.073476
-15.1165495,0.91421384,5.7116647,-0.029067000000000003,-0.2,-0.0702
-15.621882,0.75217044,3.5569572,-0.018782,-0.2,-0.073629
-16.002785,2.059887,5.9248266,-0.027696,-0.2,-0.066924
-16.556437,1.8736657,3.6618874,-0.017891999999999998,-0.2,-0.07019299999999999
-15.315715,0.35781842,1.2138598,-0.0085068,-0.2,-0.07909
-15.828709,0.5629644,1.2642272,-0.008115100000000002,-0.2,-0.075562
-16.80653,1.6625421,1.2250814,-0.0077235,-0.2,-0.072034
-15.226081,0.22345531,-0.97592926,0.0028318,-0.2,-0.07950399999999999
-15.680354,0.36353403,-0.98831475,0.0027174,-0.2,-0.075959
-16.691189,1.4285768,-1.172556,0.0026030000000000003,-0.2,-0.072413
-14.839989,0.09422559,-3.0929546,0.014116,-0.2,-0.078316
-15.226339,0.16661382,-3.1508942,0.013497,-0.2,-0.074816
-16.236725,1.1844884,-3.474146,0.012877000000000001,-0.2,-0.071315
-14.176949,-0.031154346,-5.0872464,0.025106,-0.2,-0.075495
-14.497527,-0.019678356,-5.1703305,0.023997,-0.2,-0.072126
-15.47005,0.93673456,-5.630452,0.022889,-0.2,-0.068758
-13.263316,-0.15793976,-6.924401,0.035588999999999996,-0.2,-0.071156
-13.526573,-0.19196765,-7.021715,0.034010000000000006,-0.2,-0.067976
-14.42737,0.69345725,-7.601083,0.032431,-0.2,-0.06479700000000001
-12.126251,-0.29431504,-8.600713,0.04534,-0.2,-0.065357
-12.344391,-0.35507768,-8.710753,0.043327,-0.2,-0.062437
-13.1468525,0.45819575,-9.358296,0.041314,-0.2,-0.059516999999999994
-10.789465,-0.44187313,-10.09921,0.054172000000000005,-0.2,-0.058235
-10.970191,-0.5124961,-10.2161665,0.051766,-0.2,-0.055635000000000004
-11.661011,0.23057604,-10.894969,0.04936,-0.2,-0.053034000000000005
-9.274413,-0.59677964,-11.385041,0.061935000000000004,-0.2,-0.049958999999999996
-9.422526,-0.66430813,-11.507512,0.059172,-0.2,-0.047718
-9.999103,0.005136356,-12.199139,0.056409,-0.2,-0.045477
-7.615509,-0.7573673,-12.4276085,0.068381,-0.2,-0.040619999999999996
-7.740812,-0.80964106,-12.555345,0.065337,-0.2,-0.038801
-8.202844,-0.20267867,-13.249638,0.062292999999999994,-0.2,-0.036982
-5.9553037,-0.9097431,-13.193663,0.073461,-0.2,-0.030472000000000003
-6.071352,-0.94158167,-13.326661,0.070184,-0.2,-0.029102999999999997
-6.4467487,-0.38263965,-14.023219,0.06690700000000001,-0.2,-0.027733999999999998
-13.891548,0.73488593,7.2380323,-0.037951,-0.2,-0.069883
-14.425047,1.0440344,7.531776,-0.036246,-0.2,-0.066771
-15.259513,2.2322373,7.821517,-0.034542,-0.2,-0.063658
-13.052093,0.83423316,8.737381,-0.045049,-0.2,-0.06552899999999999
-13.5562315,1.1460268,9.110055,-0.043029000000000005,-0.2,-0.062612
-14.338976,2.3822973,9.488809,-0.041009,-0.2,-0.059696000000000006
-12.042876,0.92626965,10.144367,-0.051654,-0.2,-0.060459000000000006
-12.50435,1.2278965,10.586836,-0.049339999999999995,-0.2,-0.05776900000000001
-13.229521,2.50273,11.056899,-0.047027,-0.2,-0.055078999999999996
-10.877654,1.0095885,11.43253,-0.05769199999999999,-0.2,-0.054725
-11.283605,1.297556,11.935559,-0.05511,-0.2,-0.052292
-11.941902,2.600604,12.484004,-0.052529,-0.2,-0.04986
