"U:0","U:1","U:2","Points:0","Points:1","Points:2"
-9.379406,-2.5443597,3.3179054,-0.051881,-0.2,-0.12404000000000001
-8.177815,-2.7147348,2.5411355,-0.055958,-0.2,-0.13364
-9.471422,-2.4803345,2.047952,-0.033694,-0.2,-0.13015
-8.32569,-2.509681,1.38908,-0.036362,-0.2,-0.14023
-10.376946,-1.9558572,3.9134295,-0.047803,-0.2,-0.11442999999999999
-10.619949,-2.0206075,2.536095,-0.031025999999999998,-0.2,-0.12005999999999999
-10.173941,-0.6827497,3.7657862,-0.043726,-0.2,-0.10482999999999999
-10.656927,-0.7589764,2.395184,-0.028359,-0.2,-0.10998
-10.065459,0.6034183,3.7928958,-0.039648,-0.2,-0.09522
-10.537906,0.55767184,2.4311647,-0.025691000000000002,-0.2,-0.099892
-10.1382265,0.96200436,3.7618814,-0.035571,-0.2,-0.085615
-10.679797,0.9289649,2.3729835,-0.023023,-0.2,-0.089806
-10.393454,0.7157758,3.8567762,-0.031809,-0.2,-0.076752
-10.938945,0.66611046,2.4354115,-0.020562,-0.2,-0.080501
-8.410015,-2.5012853,0.21762219,-0.016036,-0.2,-0.14400000000000002
-9.52906,-2.4747083,0.67041755,-0.014831,-0.2,-0.13364
-10.609403,-1.9313294,0.9439653,-0.013626,-0.2,-0.12327
-10.690026,-0.79028606,0.835807,-0.01242,-0.2,-0.11291
-10.799801,0.49374074,0.88463587,-0.011215000000000001,-0.2,-0.10254
-10.984624,0.8455293,0.84445316,-0.01001,-0.2,-0.09218
-11.155769,0.54226506,0.83057314,-0.0088985,-0.2,-0.082618
-8.426209,-2.4586773,-0.9629748,0.0046186000000000005,-0.2,-0.14479
-9.519983,-2.5004325,-0.6550079,0.004336199999999999,-0.2,-0.13437000000000002
-10.564318,-1.9776447,-0.5292729,0.0040539,-0.2,-0.12394000000000001
-10.536951,-0.8711199,-0.6705678,0.0037715000000000005,-0.2,-0.11352000000000001
-10.791363,0.40807125,-0.62185645,0.0034891999999999996,-0.2,-0.10309000000000001
-10.950705,0.72636116,-0.667733,0.0032069000000000004,-0.2,-0.092668
-11.007654,0.44774947,-0.72595495,0.0029463000000000002,-0.2,-0.08305
-8.10087,-2.3061156,-2.267343,0.025192,-0.2,-0.14274
-9.18615,-2.3699322,-2.0394108,0.023426,-0.2,-0.13246
-10.379746,-2.0834155,-2.0500145,0.021661,-0.2,-0.12217
-10.274935,-0.93519056,-2.1912637,0.019895,-0.2,-0.11188
-10.519746,0.3521306,-2.0611117,0.01813,-0.2,-0.10159
-10.584737,0.71086144,-2.080007,0.016364,-0.2,-0.091307
-10.48502,0.39270788,-2.1360273,0.014735,-0.2,-0.081816
-7.5446577,-2.2631576,-3.3056388,0.045214,-0.2,-0.13759000000000002
-8.818183,-2.2422392,-3.2886229,0.042006,-0.2,-0.12768
-9.924412,-1.8898795,-3.3859496,0.038798,-0.2,-0.11775999999999999
-9.7380905,-1.0048268,-3.466156,0.03559,-0.2,-0.10784
-9.755425,0.28089193,-3.4673073,0.032382,-0.2,-0.097928
-9.794438,0.65098095,-3.5034037,0.029174000000000002,-0.2,-0.088012
-9.912147,0.32883966,-3.5903873,0.026215,-0.2,-0.078863
