"U:0","U:1","U:2","Points:0","Points:1","Points:2"
-8.975921,-2.5334952,3.2333033,-0.051881,-0.2,-0.12404000000000001
-7.9995427,-2.7209232,2.6273003,-0.055958,-0.2,-0.13364
-8.721082,-2.3964405,2.0555866,-0.033694,-0.2,-0.13015
-7.642481,-2.541065,1.4672917,-0.036362,-0.2,-0.14023
-9.851877,-1.8810599,3.7268283,-0.047803,-0.2,-0.11442999999999999
-10.127526,-1.9315704,2.5127733,-0.031025999999999998,-0.2,-0.12005999999999999
-9.849928,-0.6953622,3.654033,-0.043726,-0.2,-0.10482999999999999
-10.424884,-0.7605868,2.4075477,-0.028359,-0.2,-0.10998
-9.846512,0.5851742,3.7361968,-0.039648,-0.2,-0.09522
-10.331466,0.57116467,2.417593,-0.025691000000000002,-0.2,-0.099892
-9.929955,0.976107,3.762996,-0.035571,-0.2,-0.085615
-10.370326,0.924506,2.4002666,-0.023023,-0.2,-0.089806
-10.229952,0.702106,3.892486,-0.031809,-0.2,-0.076752
-10.666078,0.63480633,2.4657147,-0.020562,-0.2,-0.080501
-8.267257,-2.4787643,0.21802725,-0.016036,-0.2,-0.14400000000000002
-9.502121,-2.3884654,0.6930022,-0.014831,-0.2,-0.13364
-11.034591,-1.9971104,1.0419557,-0.013626,-0.2,-0.12327
-11.563587,-0.86001873,0.9341195,-0.01242,-0.2,-0.11291
-11.163174,0.50909,0.9040404,-0.011215000000000001,-0.2,-0.10254
-10.784431,0.81842875,0.82925355,-0.01001,-0.2,-0.09218
-10.839735,0.53602123,0.84283483,-0.0088985,-0.2,-0.082618
-8.10685,-2.3530955,-0.99339396,0.0046186000000000005,-0.2,-0.14479
-9.167695,-2.2659132,-0.6750356,0.004336199999999999,-0.2,-0.13437000000000002
-10.300754,-1.9008527,-0.53009534,0.0040539,-0.2,-0.12394000000000001
-10.515386,-0.8775373,-0.6806816,0.0037715000000000005,-0.2,-0.11352000000000001
-11.124558,0.4572593,-0.6328524,0.0034891999999999996,-0.2,-0.10309000000000001
-10.737181,0.7727515,-0.655115,0.0032069000000000004,-0.2,-0.092668
-10.7198,0.45057377,-0.7045372,0.0029463000000000002,-0.2,-0.08305
-7.5354896,-2.2217124,-2.128291,0.025192,-0.2,-0.14274
-8.665143,-2.1479185,-1.9501162,0.023426,-0.2,-0.13246
-9.922477,-1.8343867,-1.9679718,0.021661,-0.2,-0.12217
-10.178429,-0.8907759,-2.16019,0.019895,-0.2,-0.11188
-10.766608,0.3455634,-2.1672087,0.01813,-0.2,-0.10159
-10.598821,0.7033233,-2.1424165,0.016364,-0.2,-0.091307
-10.521624,0.39265758,-2.2399795,0.014735,-0.2,-0.081816
-7.5753403,-2.2350664,-3.2841873,0.045214,-0.2,-0.13759000000000002
-8.716487,-2.1840012,-3.2706635,0.042006,-0.2,-0.12768
-9.892835,-1.891697,-3.4487343,0.038798,-0.2,-0.11775999999999999
-9.978298,-0.9387256,-3.641416,0.03559,-0.2,-0.10784
-10.342573,0.28615132,-3.621912,0.032382,-0.2,-0.097928
-10.082879,0.6168202,-3.4867237,0.029174000000000002,-0.2,-0.088012
-10.001608,0.31542787,-3.5755913,0.026215,-0.2,-0.078863
-7.06521,-2.2051497,-4.304526,0.064364,-0.2,-0.12982
-8.14221,-2.172192,-4.466052,0.059772000000000006,-0.2,-0.12045
-9.2496,-1.9047097,-4.8192334,0.05517999999999999,-0.2,-0.11108
-9.326166,-0.9453388,-5.038867,0.050588,-0.2,-0.10171000000000001
-9.677341,0.21545428,-4.9709477,0.045995999999999995,-0.2,-0.092346
-9.4132,0.52921855,-4.7470036,0.041404,-0.2,-0.082978
-9.392495,0.18674377,-4.830573,0.037167,-0.2,-0.074335
-6.2915807,-2.094235,-5.1917934,0.082161,-0.2,-0.11930999999999999
-7.282335,-2.088576,-5.4898667,0.076284,-0.2,-0.11069000000000001
-8.296311,-1.8744316,-5.9680104,0.07040700000000001,-0.2,-0.10207999999999999
-8.375405,-0.9585714,-6.1977806,0.06452999999999999,-0.2,-0.093459
-8.704704,0.15613812,-6.132182,0.058653,-0.2,-0.084842
-8.466088,0.4354534,-5.897938,0.052775999999999997,-0.2,-0.076226
-8.560394,0.08227287,-6.0030336,0.047354,-0.2,-0.068276
