"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
156.39,-9.0777,-2.5383,3.2823,-0.051881,-0.2,-0.12404
161.54,0,0,0,-0.055958,-0.2,-0.13364
156.79,-9.3714,-2.4827,2.0134,-0.033694,-0.2,-0.13015
161.76,0,0,0,-0.036362,-0.2,-0.14023
146.15,-10.251,-2.0027,3.9745,-0.047803,-0.2,-0.11443
146.74,-10.619,-1.9971,2.5554,-0.031026,-0.2,-0.12006
135.35,-10.311,-0.79234,3.879,-0.043726,-0.2,-0.10483
135.96,-10.695,-0.83413,2.4477,-0.028359,-0.2,-0.10998
123.6,-10.313,0.55603,3.9187,-0.039648,-0.2,-0.09522
124.24,-10.718,0.50304,2.4989,-0.025691,-0.2,-0.099892
110.7,-10.289,0.93013,3.8721,-0.035571,-0.2,-0.085615
111.41,-10.697,0.87596,2.4482,-0.023023,-0.2,-0.089806
99.295,-10.884,0.62514,2.4783,-0.020562,-0.2,-0.080501
98.452,-10.489,0.69279,3.9481,-0.031809,-0.2,-0.076752
157.3,-9.4994,-2.417,0.64834,-0.014831,-0.2,-0.13364
162.18,0,0,0,-0.016036,-0.2,-0.144
147.46,-10.802,-1.987,1.0136,-0.013626,-0.2,-0.12327
136.8,-10.892,-0.88114,0.88491,-0.01242,-0.2,-0.11291
125.14,-10.942,0.43938,0.94633,-0.011215,-0.2,-0.10254
112.4,-10.922,0.80953,0.89399,-0.01001,-0.2,-0.09218
100.4,-11.088,0.54372,0.88299,-0.0088985,-0.2,-0.082618
157.83,-9.4142,-2.3438,-0.70554,0.0043362,-0.2,-0.13437
162.64,0,0,0,0.0046186,-0.2,-0.14479
148.15,-10.76,-1.9772,-0.52649,0.0040539,-0.2,-0.12394
137.62,-10.861,-0.93289,-0.68305,0.0037715,-0.2,-0.11352
126.04,-10.938,0.36828,-0.61696,0.0034892,-0.2,-0.10309
113.38,-10.92,0.7347,-0.66554,0.0032069,-0.2,-0.092668
101.48,-11.056,0.45546,-0.7032,0.0029463,-0.2,-0.08305
158.22,-9.1553,-2.2678,-2.0326,0.023426,-0.2,-0.13246
162.95,0,0,0,0.025192,-0.2,-0.14274
148.74,-10.503,-1.9633,-2.0361,0.021661,-0.2,-0.12217
138.38,-10.607,-0.98083,-2.2235,0.019895,-0.2,-0.11188
126.9,-10.713,0.29703,-2.1576,0.01813,-0.2,-0.10159
114.35,-10.7,0.65429,-2.1983,0.016364,-0.2,-0.091307
102.55,-10.804,0.35969,-2.2502,0.014735,-0.2,-0.081816
158.54,-8.7257,-2.1886,-3.2959,0.042006,-0.2,-0.12768
163.22,0,0,0,0.045214,-0.2,-0.13759
149.26,-10.04,-1.9446,-3.4807,0.038798,-0.2,-0.11776
139.08,-10.139,-1.0216,-3.6996,0.03559,-0.2,-0.10784
127.7,-10.272,0.22807,-3.6426,0.032382,-0.2,-0.097928
115.26,-10.268,0.5683,-3.6744,0.029174,-0.2,-0.088012
103.58,-10.342,0.25556,-3.7292,0.026215,-0.2,-0.078863
158.91,-8.1221,-2.109,-4.4803,0.059772,-0.2,-0.12045
163.55,0,0,0,0.064364,-0.2,-0.12982
149.74,-9.38,-1.9247,-4.8374,0.05518,-0.2,-0.11108
139.72,-9.4692,-1.0586,-5.0852,0.050588,-0.2,-0.10171
128.45,-9.6278,0.16051,-5.0433,0.045996,-0.2,-0.092346
116.13,-9.6366,0.47858,-5.0645,0.041404,-0.2,-0.082978
104.55,-9.6838,0.14446,-5.1121,0.037167,-0.2,-0.074335
159.07,-7.3822,-2.0348,-5.5781,0.076284,-0.2,-0.11069
163.63,0,0,0,0.082161,-0.2,-0.11931
150.09,-8.545,-1.9045,-6.0835,0.070407,-0.2,-0.10208
140.25,-8.6189,-1.0913,-6.3537,0.06453,-0.2,-0.093459
129.1,-8.7966,0.095566,-6.3327,0.058653,-0.2,-0.084842
116.88,-8.8219,0.38599,-6.3434,0.052776,-0.2,-0.076226
105.41,-8.8495,0.02814,-6.374,0.047354,-0.2,-0.068276
159.44,-6.4916,-1.9649,-6.5407,0.091231,-0.2,-0.098682
164.01,0,0,0,0.098271,-0.2,-0.10637
150.47,-7.5454,-1.8883,-7.1975,0.084192,-0.2,-0.090994
