"U:0","U:1","U:2","Points:0","Points:1","Points:2"
-17.108418,-4.6509576,2.7033904,-0.051881,-0.2,-0.12404000000000001
-15.099161,-4.972493,2.1263573,-0.055958,-0.2,-0.13364
-17.673504,-4.556638,1.6758385,-0.033694,-0.2,-0.13015
-15.56956,-4.845691,1.1893456,-0.036362,-0.2,-0.14023
-19.232681,-3.611197,3.1911397,-0.047803,-0.2,-0.11442999999999999
-19.906757,-3.5965488,2.055203,-0.031025999999999998,-0.2,-0.12005999999999999
-19.343395,-1.2348015,3.1378496,-0.043726,-0.2,-0.10482999999999999
-20.053997,-1.3153788,1.9845464,-0.028359,-0.2,-0.10998
-19.362259,0.48801425,3.157587,-0.039648,-0.2,-0.09522
-20.105751,0.43436807,2.0128188,-0.025691000000000002,-0.2,-0.099892
-19.380661,0.7884148,3.121868,-0.035571,-0.2,-0.085615
-20.139147,0.7328874,1.9756498,-0.023023,-0.2,-0.089806
-19.762617,0.58139753,3.1829264,-0.031809,-0.2,-0.076752
-20.50942,0.5168792,1.9952083,-0.020562,-0.2,-0.080501
-15.772466,-4.6910667,0.18149674,-0.016036,-0.2,-0.14400000000000002
-17.931067,-4.4400516,0.5594508,-0.014831,-0.2,-0.13364
-20.22617,-3.5713568,0.81148154,-0.013626,-0.2,-0.12327
-20.41451,-1.4023871,0.71873665,-0.01242,-0.2,-0.11291
-20.514414,0.37302125,0.753987,-0.011215000000000001,-0.2,-0.10254
-20.556719,0.6680934,0.7180275,-0.01001,-0.2,-0.09218
-20.900234,0.44461805,0.70687026,-0.0088985,-0.2,-0.082618
-15.592257,-4.521326,-1.901239,0.0046186000000000005,-0.2,-0.14479
-17.785873,-4.3128815,-1.2859513,0.004336199999999999,-0.2,-0.13437000000000002
-20.117208,-3.5451298,-1.001808,0.0040539,-0.2,-0.12394000000000001
-20.34118,-1.4948015,-1.2536099,0.0037715000000000005,-0.2,-0.11352000000000001
-20.49908,0.31021398,-1.1568742,0.0034891999999999996,-0.2,-0.10309000000000001
-20.547066,0.60192746,-1.2272815,0.0032069000000000004,-0.2,-0.092668
-20.84437,0.37275335,-1.2961111,0.0029463000000000002,-0.2,-0.08305
-15.122516,-4.342548,-4.1959457,0.025192,-0.2,-0.14274
-17.315214,-4.1774597,-3.834099,0.023426,-0.2,-0.13246
-19.624054,-3.5094616,-3.835624,0.021661,-0.2,-0.12217
-19.84492,-1.5749031,-4.1401467,0.019895,-0.2,-0.11188
-20.051107,0.25177917,-4.0417876,0.01813,-0.2,-0.10159
-20.120787,0.53650004,-4.0973043,0.016364,-0.2,-0.091307
-20.373812,0.30085653,-4.2040105,0.014735,-0.2,-0.081816
-14.392604,-4.1585937,-6.2789545,0.045214,-0.2,-0.13759000000000002
-16.515526,-4.03753,-6.2235827,0.042006,-0.2,-0.12768
-18.745714,-3.4656804,-6.549204,0.038798,-0.2,-0.11775999999999999
-18.962925,-1.6393898,-6.897004,0.03559,-0.2,-0.10784
-19.20867,0.19926769,-6.806795,0.032382,-0.2,-0.097928
-19.308258,0.47141856,-6.849666,0.029174000000000002,-0.2,-0.088012
-19.519491,0.22612967,-6.9815984,0.026215,-0.2,-0.078863
-13.396423,-3.974505,-8.160439,0.064364,-0.2,-0.12982
-15.398266,-3.8987305,-8.438264,0.059772000000000006,-0.2,-0.12045
-17.503506,-3.4216092,-9.101935,0.05517999999999999,-0.2,-0.11108
-17.722946,-1.6929281,-9.48453,0.050588,-0.2,-0.10171000000000001
-18.007427,0.15137102,-9.413201,0.045995999999999995,-0.2,-0.092346
-18.139597,0.40428215,-9.449388,0.041404,-0.2,-0.082978
-18.308298,0.14557043,-9.576103,0.037167,-0.2,-0.074335
-12.187863,-3.801752,-9.964108,0.082161,-0.2,-0.11930999999999999
-14.027081,-3.7704158,-10.514103,0.076284,-0.2,-0.11069000000000001
-15.950123,-3.384502,-11.44927,0.07040700000000001,-0.2,-0.10207999999999999
-16.152641,-1.7415891,-11.861024,0.06452999999999999,-0.2,-0.093459
-16.472284,0.106013805,-11.823075,0.058653,-0.2,-0.084842
-16.633606,0.33275673,-11.847577,0.052775999999999997,-0.2,-0.076226
-16.7678,0.05692212,-11.942039,0.047354,-0.2,-0.068276
-10.725838,-3.6463275,-11.574728,0.098271,-0.2,-0.10637
-12.370275,-3.6600285,-12.367934,0.09123099999999999,-0.2,-0.098682
-14.083471,-3.3640878,-13.548978,0.08419199999999999,-0.2,-0.090994
-14.272601,-1.7968752,-13.99696,0.077152,-0.2,-0.08330599999999999
-14.622965,0.059994712,-14.004995,0.070112,-0.2,-0.07561699999999999
-14.813341,0.25581715,-13.99916,0.063073,-0.2,-0.067929
-14.928029,-0.09584808,-14.047991,0.056577999999999996,-0.2,-0.060836
-9.065442,-3.535111,-13.042118,0.11255,-0.2,-0.091419
-10.481159,-3.5828786,-14.026804,0.10447000000000001,-0.2,-0.084797
-11.945215,-3.3662646,-15.394012,0.09639,-0.2,-0.078175
-12.110365,-1.8674287,-15.864878,0.08831,-0.2,-0.07155299999999999
-12.486095,0.01132412,-15.913565,0.080231,-0.2,-0.06493099999999999
-12.694832,0.17423476,-15.869335,0.072152,-0.2,-0.058309
-12.806994,-0.33246353,-15.860057,0.064697,-0.2,-0.0522
-7.342956,-3.470202,-14.297767,0.12426,-0.2,-0.074379
-8.459727,-3.5414188,-15.432006,0.11534000000000001,-0.2,-0.068986
-9.59858,-3.3846521,-16.92924,0.10642,-0.2,-0.063593
-9.722886,-1.937695,-17.407806,0.097498,-0.2,-0.0582
-10.102587,-0.03883907,-17.49717,0.088577,-0.2,-0.05280700000000001
-10.337721,0.08791535,-17.425331,0.07965599999999999,-0.2,-0.047414
-10.469859,-0.58397037,-17.350756,0.071425,-0.2,-0.042438
-5.4935913,-3.4409652,-15.201679,0.13364,-0.2,-0.055958
-6.349513,-3.5339973,-16.456207,0.12403,-0.2,-0.051886
-7.2131176,-3.4319036,-18.072708,0.11442999999999999,-0.2,-0.047813999999999995
-7.3041306,-2.0242894,-18.568712,0.10482000000000001,-0.2,-0.043742
-7.6782594,-0.098167874,-18.685486,0.09521,-0.2,-0.03967
