"Points:0","Points:2","U:0","U:1","U:2","Res:0","Res:1","Res:2"
-0.048739072,-0.133422,-11.637796,-0.34286866,3.361306,-3.6127084e-12,-1.3499141e-12,8.307903e-13
-0.04687817400000001,-0.12840471,-12.538877,-0.7314385,4.439967,2.5562294e-10,-6.2043745e-11,8.389538e-11
-0.045017275999999995,-0.12338740000000001,-12.839402,-1.0473983,4.4499173,4.995719e-10,-2.1188244e-10,1.2410566e-10
-0.043156377999999995,-0.11837011,-12.952107,-1.2951308,4.5122943,7.738864e-10,-4.0657652e-10,-4.910027e-10
-0.04129547599999999,-0.11335281,-13.020779,-1.4690208,4.5476136,8.233079e-10,-5.448155e-10,-2.6255387e-09
-0.039434578,-0.1083355,-13.058984,-1.5527711,4.5671687,8.0170853e-10,-5.0045484e-10,-3.9468784e-09
-0.03757368,-0.1033182,-13.056268,-1.5357752,4.5647845,5.358872e-10,-4.206052e-10,-3.5328718e-09
-0.03571278199999999,-0.09830090400000001,-13.001857,-1.4073989,4.5345025,1.15514244e-10,-2.9171607e-10,-1.8878032e-09
-0.033851881,-0.093283601,-12.888384,-1.1649119,4.4734526,-3.0212083e-10,-2.142602e-11,-1.6082202e-09
-0.031990983,-0.088266298,-12.712966,-0.82404137,4.3807445,-1.0267216e-09,1.3602994e-10,-1.3200946e-09
-0.03013008499999999,-0.083248995,-12.473359,-0.42605606,4.255572,-1.2130372e-09,3.8800022e-10,-8.346677e-10
-0.028269186999999998,-0.078231692,-12.168091,-0.02693095,4.0950503,-1.0967487e-09,7.478164e-10,-3.0535356e-09
-0.036215964999999996,-0.13733894,-11.758333,-0.3375576,2.2431703,-6.0606235e-13,-2.4391734e-12,2.6246295e-12
-0.034826464999999994,-0.13217273,-12.715836,-0.71901,3.2695537,3.2646635e-10,-7.547504e-11,1.1900352e-10
-0.03343696499999999,-0.12700652,-12.986268,-1.0357312,3.2296336,7.436761e-10,-2.4833044e-10,2.448644e-10
-0.032047462,-0.12184031,-13.077581,-1.2898325,3.2685657,1.0939579e-09,-4.5544857e-10,-2.619456e-10
-0.030657961999999993,-0.11667409,-13.131372,-1.4756119,3.2874165,1.2835448e-09,-6.084778e-10,-2.5759825e-09
-0.02926846,-0.11150788,-13.16592,-1.5761398,3.2954125,9.227274e-10,-5.95833e-10,-3.8785686e-09
-0.027878961,-0.10634167,-13.172743,-1.5794765,3.2871919,7.7658985e-10,-5.7633487e-10,-3.4546752e-09
-0.026489458999999993,-0.10117546,-13.143079,-1.4736084,3.257484,4.2804474e-10,-3.6097345e-10,-1.5623615e-09
-0.02509995899999999,-0.09600924,-13.069584,-1.2527151,3.2041106,5.628158e-10,-4.5081435e-11,-1.4350564e-09
-0.023710458,-0.090843029,-12.947469,-0.92815405,3.126931,5.5996063e-10,4.4662524e-10,-5.3398774e-10
-0.022320955999999992,-0.085676819,-12.769466,-0.53652287,3.0256555,9.406385e-10,8.3995716e-10,-8.4884627e-10
-0.020931456000000005,-0.080510601,-12.525789,-0.13211569,2.8971572,1.7506487e-09,8.082578e-10,-3.7295385e-09
-0.023389524,-0.14009425,-11.627286,-0.33160436,1.163024,1.0997154e-12,-2.2576867e-12,4.4457567e-12
-0.022482831,-0.13482247,-12.6272135,-0.7037485,2.0864775,3.7242265e-10,-6.720917e-11,1.9139033e-10
-0.021576136,-0.12955070000000002,-12.877931,-1.0178783,1.9922993,9.643808e-10,-2.3327215e-10,4.2819953e-10
-0.020669444000000006,-0.1242789,-12.966766,-1.2743409,2.0036993,1.456496e-09,-4.391748e-10,1.2814137e-10
-0.019762751000000005,-0.11900711999999998,-13.031619,-1.46869,2.0034065,1.7873149e-09,-5.8013144e-10,-2.2417166e-09
-0.01885605800000001,-0.11373533,-13.093319,-1.5847018,1.998549,1.4649701e-09,-6.1355826e-10,-4.0408232e-09
-0.017949363000000006,-0.10846355,-13.143243,-1.609888,1.9840884,9.721917e-10,-6.5565764e-10,-3.941934e-09
