NU,X,Y,Ux,Uy
0.01,0.005,0.005,0.000246565,-0.000243199
0.01,0.01,0.005,0.000134735,0.000116797
0.01,0.015,0.005,-0.00116649,0.000565743
0.01,0.02,0.005,-0.00344722,0.000882641
0.01,0.025,0.005,-0.00631355,0.00104143
0.01,0.030000000000000002,0.005,-0.00937233,0.00105686
0.01,0.035,0.005,-0.0122739,0.000953286
0.01,0.04,0.005,-0.0147291,0.000756843
0.01,0.045,0.005,-0.0165147,0.000492447
0.01,0.049999999999999996,0.005,-0.0174744,0.00018402
0.01,0.05499999999999999,0.005,-0.0175198,-0.000144073
0.01,0.05999999999999999,0.005,-0.0166349,-0.00046555
0.01,0.06499999999999999,0.005,-0.0148815,-0.000751305
0.01,0.06999999999999999,0.005,-0.0124053,-0.00096942
0.01,0.075,0.005,-0.00943916,-0.0010864
0.01,0.08,0.005,-0.00630029,-0.00107032
0.01,0.085,0.005,-0.00337392,-0.000896821
0.01,0.09000000000000001,0.005,-0.0010803,-0.000558688
0.01,0.09500000000000001,0.005,0.00018825,-9.62539e-05
0.01,0.10000000000000002,0.005,0.000260775,0.000255506
0.01,0.005,0.01,-8.35059e-05,-0.000161999
0.01,0.01,0.01,-0.00160237,0.00163519
0.01,0.015,0.01,-0.00563413,0.00358726
0.01,0.02,0.01,-0.011596,0.0049888
0.01,0.025,0.01,-0.0186931,0.00568852
0.01,0.030000000000000002,0.01,-0.0261207,0.00570439
0.01,0.035,0.01,-0.0331128,0.00512147
0.01,0.04,0.01,-0.0390068,0.00405342
0.01,0.045,0.01,-0.0432794,0.00262371
0.01,0.049999999999999996,0.01,-0.0455614,0.000960614
0.01,0.05499999999999999,0.01,-0.0456481,-0.000801244
0.01,0.05999999999999999,0.01,-0.0435095,-0.00251799
0.01,0.06499999999999999,0.01,-0.0393009,-0.0040355
0.01,0.06999999999999999,0.01,-0.0333708,-0.00519264
0.01,0.075,0.01,-0.0262596,-0.00583087
0.01,0.08,0.01,-0.0186799,-0.00581292
0.01,0.085,0.01,-0.0114634,-0.00505375
